id,Y14_avgsch
530602001,15.3401421
530603001,15.00337268
530603002,13.70420792
530603003,14.54987427
530604001,16.42857143
530604002,15.86524164
530604003,14.5
530604004,14.0234192
530604005,14.40892532
530605001,15.25684932
530605002,15.68965517
530605003,14.58691207
530605004,14.6218593
530605005,15.81652047
530606001,15.61987179
530606002,14.84488108
530606003,14.34166667
530606004,14.95623632
530606005,14.97438753
530606006,14.20902613
530607001,15.57194245
530607002,15.09656652
530607003,15.2225
530607004,13.98816568
530607005,14.9025
530607006,15.71096346
530608001,14.73135755
530608002,14.41821561
530608003,14.30827703
530608004,13.61418269
530608005,13.42596154
530608006,14.60040161
530608007,14.40632054
530609031,13.56574074
530609032,13.51836969
530609033,14.70631342
530609041,12.96097046
530609042,13.7629056
530609043,13.98249027
530609044,12.52829218
530609051,13.42606149
530609052,13.75450763
530609053,13.72558923
530609054,14.09742489
530609055,14.21057786
530609061,13.60702746
530609062,13.86234818
530610011,13.34993084
530610012,14.73407643
530610013,14.73533333
530610021,12.48169839
530610022,12.70833333
530610023,14.15965834
530610024,13.51901566
530611001,14.07769231
530611002,12.79755435
530611003,12.90496575
530611004,12.87762238
530611005,13.60424967
530611006,13.65851364
530611007,12.99055233
530612001,13.28957719
530612002,13.50569476
530612003,13.29363636
530612004,12.53924419
530612005,14.30057252
530612006,14.15661479
530613001,12.03543307
530613002,12.47890625
530613003,12.41887417
530613004,13.74631268
530613005,11.83185841
530613006,12.98210923
530614001,11.97368421
530614002,11.60147992
530614003,11.14533133
530615001,14.50269231
530615002,14.14305054
530615003,13.11151079
530615004,13.71796482
530616011,13.16025641
530616021,13.66753927
530617001,13.41487603
530617002,12.57429245
530617003,13.46057348
530617004,11.26029412
530617005,12.91414835
530618001,12.7703827
530618002,11.55772647
530618003,13.03462604
530619001,12.89170507
530619002,12.67658999
530620001,12.02654232
530620002,12.39391304
530620003,12.9275766
530620004,11.54872647
530623001,12.44299287
530623002,11.55482897
530623003,12.26986301
530623004,12.75086505
530624001,11.24179104
530624002,11.80703259
530624003,13.05118602
530624004,13.76622517
530624005,12.55698529
530625001,13.15786517
530625002,12.90356083
530625003,13.11237113
530625004,11.40735502
530625005,11.8203405
530625006,12.63327948
530625007,12.25804094
530626001,13.02517483
530626002,12.67309091
530628011,13.25087925
530628012,12.36794355
530628013,12.71948998
530628014,13.32947531
530628021,13.09189189
530628022,12.57664975
530628023,13.59073842
530629001,12.50419207
530629002,11.90759754
530629003,12.42456359
530629004,12.61392405
530629005,11.52962085
530629006,12.07747934
530630001,12.82151899
530630002,11.37697274
530631001,12.39130435
530631002,12.4369483
530631003,12.50276243
530631004,12.06081755
530632001,12.47234352
530632002,11.70954064
530632003,12.34110169
530632004,13.33084112
530632005,12.66178862
530633001,10.98456175
530633002,11.93955095
530633003,11.03479237
530633004,12.61919192
530633005,12.07766367
530634001,11.15177549
530634002,12.30715532
530634003,11.95335821
530634004,12.80288462
530634005,12.69952381
530634006,12.46679688
530635011,11.82397408
530635012,12.51397059
530635013,13.03040103
530635014,10.5035461
530635021,12.49852941
530635022,12.28397213
530635023,12.41995731
530701001,12.55137615
530701002,#DIV/0!
530701003,13.522343
530701004,13.03
530702031,13.63261889
530702032,12.86330049
530702033,12.65184382
530702041,12.43515704
530702042,12.76134846
530702051,12.86271958
530702052,12.78792342
530702061,12.93867925
530702062,12.50584112
530702063,12.58592593
530702071,13.01449275
530702072,13.69528178
530702073,6.287696019
530702074,13.0978836
530703071,13.9553719
530703072,14.52508961
530703073,14.06012658
530703081,13.0137051
530703082,13.06660974
530703091,13.59023669
530703092,13.40958691
530703093,13.1238354
530703101,13.00659522
530703102,12.19007491
530703103,13.58811881
530703104,12.08783784
530703111,13.24498229
530703112,12.43465046
530703113,12.14986968
530703121,14.36402754
530703122,13.88012618
530703123,13.27698309
530703131,13.72216749
530703132,14.19310897
530703133,13.12272333
530703134,12.6494709
530703135,13.32324841
530703141,13.59293003
530703142,13.72161836
530703151,13.64790076
530703152,13.9843562
530703153,14.82324688
530703154,14.00668151
530703161,14.0793072
530703162,14.17220094
530704011,12.84883721
530704012,12.30952381
530704031,12.49719101
530704032,12.12871287
530704033,12.90891912
530704041,12.9500347
530704042,13.83201723
530707031,13.53357532
530707032,13.31206597
530707033,13.16307404
530707034,13.30747126
530707035,13.12083333
530711001,13.27755102
530711002,13.42682927
530712051,13.93306511
530712052,13.34393324
530712061,13.66421208
530712062,13.15836791
530712063,12.75853242
530712064,12.98738789
530712071,13.372
530712072,13.1336863
530712073,12.68561996
530712081,12.78874902
530712082,12.8821032
530712083,13.46932682
530712091,14.0746634
530712092,13.30793991
530712093,15.48835275
530712101,13.12816456
530712102,14.56479218
530712103,14.34718349
530713041,13.12893983
530713042,13.58235294
530713043,12.59139785
530713051,12.4215956
530713052,13.22436423
530713061,12.77202643
530713062,13.57807808
530713063,13.12753036
530713064,13.18819188
530713071,13.2461165
530713072,13.17461431
530713073,13.34509327
530713091,12.86336867
530713092,12.96079545
530713093,13.93695921
530713101,13.33090186
530713102,13.85710456
530714031,12.87849566
530714032,12.75862069
530714033,12.29701061
530714061,13.37187001
530714062,12.88472486
530714063,12.6441048
530714064,12.656298
530714071,13.00157068
530714072,12.92947103
530714073,13.23939394
530714074,13.71227197
530714081,12.77773376
530714082,11.92384888
530714083,12.16615854
530714091,12.52774019
530714092,12.30861723
530714093,12.79427646
530714094,11.69230769
530714101,12.81966224
530714102,11.62363834
530714103,12.48204225
530714104,13.4047402
530714111,12.84459956
530714112,11.52534965
530714113,13.17943337
530715031,12.88352524
530715032,11.98434535
530715033,12.27543186
530715034,12.9445629
530715041,12.69927909
530715042,12.85177866
530715043,12.67005076
530715044,12.47880299
530715051,12.84334764
530715052,12.28625235
530715053,12.95951157
530715054,11.92592593
530715061,13.10730858
530715062,13.09511401
530715063,13.39675383
530716011,12.18394649
530716012,11.44334278
530716021,13.37988599
530716022,12.42063492
530716023,13.18181818
530716024,13.09041591
530717031,12.25689519
530717032,12.36084656
530717041,11.48352627
530717042,12.56317204
530717043,12.1954023
530717051,11.49546485
530717052,12.02095808
530717053,13.10494652
530717061,12.53535354
530717071,13.1183953
530717072,12.34315589
530717073,10.90625
530718031,14.62226277
530718032,13.0958013
530718033,13.25273523
530718034,10.85021097
530718051,12.20660522
530718052,12.53997613
530718053,11.42105263
530718061,11.9690367
530718062,12.58979206
530718071,12.89218329
530718072,12.30480072
530718081,11.3151341
530718082,11.96367188
530718083,11.99498328
530719011,12.84479465
530719012,13.60125448
530719013,13.80600214
530719014,13.50625
530719021,13.46181263
530719022,13.17084433
530719023,14.51451028
530719024,15.46692607
530719025,15.21018735
530720001,11.05200594
530720002,12.65859684
530720003,12.24217586
530720004,11.87393162
530721051,14.30542986
530721052,14.2911032
530721053,11.01815182
530721054,13.74883359
530721061,14.09220986
530721062,13.12364244
530721063,13.16268382
530721064,13.28578947
530721071,12.9790487
530721072,13.95930233
530721073,12.995671
530721074,13.70400943
530721081,11.5857438
530721082,13.14805195
530721083,13.57866667
530721084,13.23323053
530721085,12.99507659
530721091,14.73991597
530721092,13.34331629
530721111,13.7172973
530721112,13.89699332
530721121,13.34082535
530721122,13.08028793
530721123,13.1851595
530723051,14.26294118
530723052,14.38406828
530723053,14.24601594
530723054,14.8322314
530723055,13.52692308
530723056,14.52643172
530723071,13.08191403
530723072,14.36808511
530723073,14.5300885
530723074,14.30075758
530723081,14.23041475
530723082,14.57290016
530723083,14.31753247
530723084,13.44616266
530723085,14.4983512
530723091,14.3820922
530723092,13.39044402
530723093,14.23572377
530723094,14.39415042
530723101,14.53422983
530723102,13.23125
530723103,14.02707006
530723111,13.11146838
530723112,13.19535519
530723113,13.64601019
530723121,15.17471591
530723122,13.22222222
530723123,12.34450923
530723131,14.78158967
530723132,14.10797665
530724051,15.12209302
530724052,14.80608592
530724061,14.67816092
530724062,14.41627358
530724063,14.20340294
530724071,13.53082192
530724072,15.51182033
530724073,13.94575472
530724081,14.71097046
530724082,14.18442907
530724083,15.17533186
530724084,14.92545455
530724091,14.75946215
530724092,14.12860728
530724101,15.00381971
530724102,14.7618007
530725031,13.78139183
530725032,14.0929692
530725041,15.04548844
530725042,13.24417601
530725051,14.25347594
530725052,14.07318225
530725053,14.52198467
530725054,13.15633245
530725061,14.03846154
530725062,14.94661309
530725071,15.65769944
530725072,14.21823021
530726011,13.35367941
530726012,13.47984749
530726013,13.09519868
530726021,13.56598639
530726022,13.41805324
530726023,13.68931069
530726031,13.77024922
530726032,13.17173638
530726033,13.99396864
530726034,12.55080935
530726035,11.95142003
530728001,14.41109074
530728002,15.0457814
530729011,13.30488751
530729031,13.23100407
530729051,14.06973899
530729052,12.64628821
530729053,12.36287313
530729061,13.05540897
530729062,13.27147766
530729071,13.59879032
530729072,13.3785347
530729073,#DIV/0!
530730011,12.6724924
530730012,13.03706505
530730013,13.65178571
530730014,13.31423611
530730015,13.26251897
530730051,12.34473398
530730052,12.43839104
530730053,12.37722646
530730054,13.30940416
530730061,12.97779561
530730062,12.56622517
530731081,10.96161168
530731082,13.27451395
530731083,12.8397874
530731101,13.61471037
530731102,13.90712188
530731111,13.01489028
530731112,12.98862344
530731113,13.27263374
530731131,12.88104375
530731132,13.90773598
530731133,13.44004065
530731141,12.96575821
530731142,12.70651204
530731143,12.52247191
530731151,13.0773639
530731152,12.26564004
530731153,12.82734807
530731161,13.5750366
530731162,13.05126792
530731171,13.15958165
530731172,12.66547619
530731181,13.01193226
530731182,13.35667067
530731191,12.58294574
530731192,12.57203872
530731201,13.29212598
530731202,12.6699187
530731211,14.12247278
530731212,13.72321429
530731221,13.42215909
530731222,13.57451472
530731231,14.28692615
530731232,13.61479347
530731241,12.67192691
530731242,13.04707044
530731251,13.38666415
530731252,13.55387409
530731253,12.85179442
530731261,13.80788057
530732001,13.39659224
530732002,12.86448598
530732003,13.00274123
530732004,12.67403487
530733011,12.81813445
530733012,11.94791667
530733013,13.51162791
530733014,12.57515823
530733021,12.91024229
530733022,13.52646396
530733023,13.40169271
530734041,12.76744186
530734042,11.76872536
530734043,13.44337812
530734044,13.40065789
530734045,14.10677966
530734051,12.71356978
530734052,13.28314917
530734061,14.20498392
530734062,12.84778122
530734063,12.82779052
530734071,13.02102804
530734072,12.98796992
530734073,13.53915663
530734081,13.15065681
530734082,13.72123894
530734083,12.52195946
530735001,14.10579858
530735002,13.9371134
530735003,12.53436019
530735004,13.84925373
530735005,12.56670902
530735006,12.7876506
539400011,14.40299228
539400012,14.70939734
539400021,12.99951124
539400022,12.46178756
539400023,13.35175202
539400031,13.74592522
539400032,13.02924528
539400033,12.41901408
539400041,13.09609293
539400042,13.50280899
539400043,12.61320755
539400044,12.75427683
539400045,13.24203822
539400046,13.31858803
539400051,12.8777666
539400052,13.08866279
539400053,13.2599278
539400061,10.78253012
539400062,11.80746562
539400071,11.94199536
539400072,11.9
539400073,11.21856287
539400081,13.8880856
539400082,13.57806081
539400083,14.79029029
539400091,13.41492777
539400092,13.35435631
539400101,13.21953125
539400102,12.43842557
539400103,13.02654867
539400111,14.49515973
539400112,15.11742984
539400113,14.47115385
