id,Y14_elem,Y14_mdl
530602001,19,31
530603001,37,20
530603002,42,97
530603003,71,55
530604001,87,17
530604002,65,9
530604003,56,69
530604004,53,41
530604005,75,22
530605001,72,29
530605002,79,35
530605003,35,25
530605004,29,95
530605005,66,80
530606001,47,69
530606002,25,97
530606003,51,47
530606004,28,51
530606005,74,0
530606006,52,28
530607001,33,55
530607002,44,87
530607003,36,24
530607004,7,8
530607005,9,8
530607006,15,0
530608001,73,59
530608002,26,12
530608003,77,57
530608004,0,76
530608005,77,65
530608006,0,169
530608007,15,28
530609031,89,238
530609032,38,27
530609033,96,34
530609041,14,65
530609042,170,87
530609043,31,38
530609044,54,77
530609051,39,61
530609052,0,0
530609053,40,50
530609054,34,108
530609055,36,0
530609061,80,62
530609062,55,20
530610011,33,20
530610012,34,37
530610013,96,51
530610021,202,51
530610022,0,106
530610023,0,0
530610024,0,0
530611001,86,173
530611002,33,0
530611003,89,26
530611004,0,0
530611005,36,60
530611006,24,133
530611007,46,63
530612001,223,102
530612002,32,12
530612003,81,33
530612004,13,40
530612005,19,10
530612006,8,53
530613001,30,24
530613002,88,112
530613003,27,90
530613004,31,86
530613005,53,26
530613006,115,51
530614001,48,73
530614002,16,17
530614003,61,154
530615001,0,16
530615002,15,41
530615003,15,0
530615004,30,30
530616011,15,21
530616021,43,36
530617001,50,12
530617002,98,150
530617003,102,42
530617004,9,8
530617005,0,57
530618001,75,111
530618002,37,71
530618003,11,11
530619001,16,64
530619002,22,22
530620001,15,59
530620002,93,102
530620003,69,89
530620004,53,64
530623001,119,48
530623002,140,145
530623003,126,133
530623004,38,31
530624001,0,51
530624002,44,49
530624003,128,110
530624004,86,8
530624005,125,58
530625001,136,139
530625002,40,278
530625003,0,6
530625004,154,62
530625005,73,162
530625006,0,0
530625007,94,122
530626001,113,31
530626002,185,53
530628011,83,0
530628012,244,272
530628013,82,39
530628014,14,0
530628021,100,155
530628022,55,63
530628023,8,61
530629001,104,197
530629002,79,66
530629003,29,20
530629004,13,12
530629005,110,28
530629006,41,55
530630001,61,81
530630002,66,135
530631001,25,38
530631002,103,85
530631003,132,28
530631004,83,74
530632001,34,49
530632002,209,99
530632003,29,83
530632004,77,29
530632005,21,27
530633001,119,59
530633002,413,218
530633003,80,44
530633004,114,61
530633005,73,116
530634001,339,80
530634002,257,135
530634003,38,67
530634004,33,15
530634005,216,64
530634006,94,98
530635011,20,94
530635012,43,68
530635013,23,50
530635014,149,136
530635021,15,128
530635022,157,133
530635023,33,178
530701001,14,37
530701002,0,0
530701003,91,139
530701004,42,79
530702031,267,203
530702032,146,306
530702033,84,48
530702041,134,150
530702042,153,54
530702051,170,123
530702052,13,153
530702061,87,144
530702062,77,102
530702063,39,126
530702071,31,184
530702072,43,87
530702073,37,70
530702074,41,112
530703071,123,109
530703072,92,194
530703073,203,229
530703081,151,107
530703082,140,36
530703091,33,59
530703092,157,171
530703093,174,115
530703101,63,179
530703102,84,9
530703103,172,227
530703104,24,48
530703111,133,177
530703112,106,86
530703113,212,326
530703121,94,144
530703122,149,372
530703123,91,234
530703131,83,74
530703132,77,23
530703133,76,31
530703134,0,42
530703135,19,64
530703141,153,71
530703142,47,77
530703151,89,26
530703152,130,173
530703153,132,86
530703154,189,24
530703161,57,68
530703162,229,196
530704011,158,143
530704012,61,12
530704031,34,76
530704032,43,0
530704033,194,116
530704041,371,324
530704042,166,162
530707031,40,45
530707032,72,23
530707033,207,94
530707034,57,102
530707035,42,37
530711001,45,73
530711002,39,68
530712051,84,115
530712052,192,240
530712061,46,86
530712062,73,32
530712063,200,92
530712064,190,168
530712071,65,64
530712072,70,275
530712073,46,169
530712081,109,23
530712082,99,104
530712083,407,328
530712091,139,211
530712092,59,93
530712093,50,52
530712101,20,24
530712102,46,89
530712103,42,230
530713041,94,127
530713042,201,289
530713043,0,15
530713051,111,106
530713052,86,150
530713061,106,88
530713062,71,47
530713063,383,225
530713064,93,18
530713071,89,107
530713072,101,76
530713073,151,182
530713091,107,59
530713092,64,120
530713093,104,46
530713101,171,112
530713102,203,258
530714031,26,36
530714032,18,33
530714033,110,91
530714061,263,320
530714062,0,17
530714063,33,51
530714064,145,196
530714071,151,47
530714072,57,43
530714073,74,95
530714074,228,199
530714081,112,81
530714082,108,38
530714083,79,118
530714091,89,165
530714092,135,36
530714093,203,122
530714094,132,103
530714101,198,43
530714102,244,163
530714103,171,116
530714104,105,71
530714111,305,348
530714112,77,42
530714113,122,131
530715031,143,14
530715032,101,310
530715033,0,12
530715034,77,63
530715041,103,98
530715042,13,62
530715043,33,32
530715044,19,66
530715051,116,154
530715052,24,100
530715053,56,38
530715054,60,63
530715061,9,88
530715062,139,134
530715063,126,205
530716011,230,222
530716012,73,218
530716021,236,218
530716022,40,65
530716023,98,199
530716024,46,0
530717031,132,134
530717032,45,57
530717041,234,192
530717042,218,64
530717043,76,45
530717051,97,145
530717052,116,111
530717053,119,106
530717061,163,101
530717071,34,30
530717072,80,31
530717073,76,85
530718031,92,98
530718032,71,266
530718033,74,9
530718034,45,89
530718051,36,22
530718052,172,33
530718053,180,9
530718061,214,141
530718062,124,41
530718071,128,82
530718072,66,117
530718081,57,86
530718082,23,12
530718083,56,22
530719011,169,84
530719012,0,14
530719013,35,34
530719014,44,73
530719021,119,64
530719022,12,23
530719023,12,21
530719024,71,0
530719025,32,19
530720001,55,294
530720002,178,178
530720003,77,34
530720004,49,32
530721051,42,58
530721052,115,60
530721053,0,0
530721054,18,68
530721061,0,0
530721062,53,148
530721063,159,60
530721064,102,28
530721071,84,75
530721072,64,24
530721073,83,86
530721074,67,36
530721081,39,13
530721082,78,34
530721083,27,47
530721084,261,356
530721085,60,92
530721091,114,34
530721092,97,34
530721111,56,71
530721112,102,33
530721121,56,122
530721122,77,93
530721123,49,61
530723051,42,50
530723052,30,195
530723053,36,50
530723054,95,103
530723055,92,56
530723056,0,17
530723071,61,223
530723072,0,25
530723073,7,78
530723074,51,95
530723081,7,133
530723082,136,297
530723083,43,90
530723084,80,112
530723085,45,214
530723091,12,86
530723092,142,89
530723093,82,14
530723094,32,42
530723101,54,26
530723102,41,44
530723103,124,152
530723111,51,87
530723112,71,128
530723113,116,232
530723121,124,165
530723122,52,105
530723123,162,19
530723131,75,238
530723132,23,83
530724051,57,175
530724052,156,195
530724061,191,201
530724062,134,205
530724063,162,107
530724071,17,13
530724072,28,115
530724073,171,221
530724081,30,56
530724082,99,171
530724083,18,46
530724084,80,125
530724091,67,152
530724092,98,68
530724101,102,84
530724102,143,67
530725031,39,77
530725032,132,240
530725041,166,136
530725042,225,153
530725051,88,34
530725052,46,74
530725053,172,173
530725054,72,179
530725061,54,88
530725062,163,178
530725071,0,14
530725072,85,38
530726011,108,179
530726012,27,41
530726013,179,153
530726021,48,64
530726022,82,239
530726023,50,121
530726031,16,67
530726032,85,8
530726033,0,0
530726034,93,123
530726035,0,0
530728001,636,478
530728002,223,244
530729011,465,187
530729031,381,203
530729051,224,183
530729052,237,118
530729053,162,136
530729061,0,0
530729062,35,13
530729071,360,44
530729072,623,436
530729073,0,0
530730011,88,48
530730012,94,14
530730013,53,124
530730014,62,100
530730015,48,71
530730051,0,103
530730052,38,62
530730053,112,75
530730054,152,192
530730061,139,137
530730062,46,51
530731081,134,220
530731082,233,222
530731083,227,123
530731101,111,92
530731102,135,169
530731111,105,228
530731112,161,99
530731113,43,111
530731131,79,65
530731132,307,247
530731133,325,296
530731141,168,295
530731142,158,166
530731143,80,136
530731151,132,191
530731152,134,105
530731153,10,23
530731161,124,256
530731162,39,60
530731171,189,68
530731172,113,253
530731181,101,210
530731182,190,160
530731191,11,39
530731192,92,124
530731201,239,171
530731202,144,193
530731211,156,423
530731212,129,133
530731221,73,119
530731222,206,324
530731231,234,307
530731232,115,257
530731241,0,138
530731242,323,133
530731251,436,507
530731252,89,176
530731253,151,464
530731261,554,534
530732001,162,98
530732002,25,23
530732003,87,136
530732004,129,64
530733011,273,290
530733012,143,175
530733013,12,0
530733014,67,15
530733021,96,39
530733022,89,106
530733023,20,101
530734041,93,63
530734042,44,30
530734043,0,9
530734044,24,49
530734045,99,164
530734051,133,119
530734052,66,50
530734061,99,111
530734062,102,43
530734063,174,94
530734071,39,48
530734072,147,63
530734073,62,2
530734081,232,161
530734082,62,53
530734083,38,40
530735001,36,20
530735002,51,36
530735003,66,38
530735004,39,49
530735005,28,147
530735006,149,158
539400011,66,135
539400012,28,55
539400021,114,116
539400022,51,91
539400023,77,124
539400031,270,221
539400032,95,66
539400033,214,167
539400041,93,54
539400042,46,63
539400043,6,33
539400044,29,54
539400045,77,50
539400046,53,91
539400051,95,99
539400052,128,176
539400053,150,201
539400061,159,185
539400062,332,168
539400071,73,59
539400072,55,41
539400073,82,99
539400081,163,198
539400082,268,175
539400083,33,66
539400091,52,80
539400092,62,69
539400101,85,65
539400102,73,27
539400103,53,56
539400111,56,128
539400112,110,89
539400113,65,70
