id,Y14_pop
530602001,665
530603001,1371
530603002,1140
530603003,1655
530604001,709
530604002,697
530604003,811
530604004,1035
530604005,757
530605001,728
530605002,850
530605003,981
530605004,556
530605005,882
530606001,1124
530606002,1255
530606003,816
530606004,1194
530606005,571
530606006,619
530607001,1136
530607002,982
530607003,1265
530607004,816
530607005,1485
530607006,698
530608001,765
530608002,643
530608003,739
530608004,527
530608005,850
530608006,1037
530608007,588
530609031,1083
530609032,1008
530609033,1248
530609041,650
530609042,2406
530609043,750
530609044,1260
530609051,1961
530609052,854
530609053,781
530609054,1736
530609055,1105
530609061,1632
530609062,723
530610011,1017
530610012,803
530610013,1875
530610021,1813
530610022,836
530610023,938
530610024,605
530611001,1299
530611002,494
530611003,784
530611004,779
530611005,1103
530611006,1442
530611007,1033
530612001,1896
530612002,595
530612003,794
530612004,896
530612005,677
530612006,844
530613001,670
530613002,1074
530613003,913
530613004,672
530613005,749
530613006,898
530614001,967
530614002,1878
530614003,1213
530615001,1555
530615002,1539
530615003,878
530615004,990
530616011,1900
530616021,867
530617001,1012
530617002,800
530617003,907
530617004,496
530617005,939
530618001,1089
530618002,1017
530618003,434
530619001,876
530619002,950
530620001,871
530620002,1146
530620003,1048
530620004,1307
530623001,1377
530623002,1740
530623003,1332
530623004,919
530624001,1436
530624002,896
530624003,1177
530624004,1102
530624005,840
530625001,1339
530625002,1835
530625003,559
530625004,1114
530625005,1626
530625006,740
530625007,974
530626001,1024
530626002,1996
530628011,1092
530628012,2157
530628013,1979
530628014,1065
530628021,1706
530628022,1435
530628023,1057
530629001,2724
530629002,1338
530629003,957
530629004,771
530629005,733
530629006,748
530630001,1158
530630002,1963
530631001,643
530631002,1259
530631003,991
530631004,1475
530632001,923
530632002,2048
530632003,767
530632004,798
530632005,720
530633001,1541
530633002,3070
530633003,1399
530633004,1137
530633005,1172
530634001,1601
530634002,1726
530634003,763
530634004,612
530634005,1459
530634006,1268
530635011,717
530635012,944
530635013,958
530635014,1732
530635021,1003
530635022,2442
530635023,1499
530701001,730
530701002,0
530701003,1364
530701004,1240
530702031,2384
530702032,2483
530702033,717
530702041,1691
530702042,2080
530702051,2241
530702052,952
530702061,1534
530702062,1285
530702063,998
530702071,1330
530702072,1125
530702073,1115
530702074,1276
530703071,975
530703072,1818
530703073,2332
530703081,1636
530703082,1727
530703091,1229
530703092,2031
530703093,1967
530703101,1884
530703102,780
530703103,1891
530703104,675
530703111,1386
530703112,1512
530703113,2174
530703121,965
530703122,3148
530703123,1362
530703131,1343
530703132,932
530703133,1597
530703134,597
530703135,915
530703141,2038
530703142,1125
530703151,1391
530703152,1372
530703153,1601
530703154,836
530703161,1617
530703162,3411
530704011,1546
530704012,671
530704031,918
530704032,723
530704033,1956
530704041,2739
530704042,2083
530707031,843
530707032,1568
530707033,1793
530707034,1015
530707035,938
530711001,1296
530711002,1002
530712051,1753
530712052,2963
530712061,1003
530712062,1002
530712063,2215
530712064,2679
530712071,1225
530712072,2742
530712073,2505
530712081,1610
530712082,2274
530712083,3519
530712091,2516
530712092,730
530712093,900
530712101,450
530712102,1130
530712103,2639
530713041,2359
530713042,2514
530713043,822
530713051,2065
530713052,1708
530713061,1327
530713062,1313
530713063,2726
530713064,1104
530713071,1494
530713072,1116
530713073,2002
530713091,1560
530713092,1460
530713093,1211
530713101,2184
530713102,2846
530714031,1355
530714032,855
530714033,1665
530714061,3339
530714062,1357
530714063,585
530714064,1925
530714071,1459
530714072,1422
530714073,1848
530714074,2073
530714081,1889
530714082,1182
530714083,834
530714091,1206
530714092,853
530714093,1596
530714094,982
530714101,1524
530714102,1589
530714103,2043
530714104,1711
530714111,2591
530714112,925
530714113,1623
530715031,1706
530715032,1816
530715033,595
530715034,1295
530715041,1679
530715042,2262
530715043,919
530715044,800
530715051,1782
530715052,871
530715053,1034
530715054,1453
530715061,1093
530715062,2153
530715063,1756
530716011,3096
530716012,1700
530716021,2071
530716022,1632
530716023,1935
530716024,895
530717031,2132
530717032,1374
530717041,2842
530717042,1417
530717043,786
530717051,1511
530717052,1314
530717053,1274
530717061,1821
530717071,813
530717072,898
530717073,1102
530718031,1437
530718032,2410
530718033,737
530718034,823
530718051,823
530718052,1367
530718053,1915
530718061,2535
530718062,1582
530718071,2050
530718072,1547
530718081,1528
530718082,1540
530718083,641
530719011,1799
530719012,643
530719013,1039
530719014,1269
530719021,1408
530719022,936
530719023,1000
530719024,632
530719025,1022
530720001,1248
530720002,1596
530720003,1013
530720004,778
530721051,1204
530721052,1919
530721053,984
530721054,1511
530721061,696
530721062,1898
530721063,2422
530721064,1389
530721071,1242
530721072,1298
530721073,1042
530721074,630
530721081,697
530721082,951
530721083,517
530721084,2290
530721085,1214
530721091,1590
530721092,2007
530721111,1270
530721112,1174
530721121,1862
530721122,1284
530721123,1142
530723051,1234
530723052,987
530723053,818
530723054,886
530723055,1493
530723056,554
530723071,1843
530723072,656
530723073,732
530723074,1064
530723081,1272
530723082,2043
530723083,1128
530723084,1670
530723085,1728
530723091,1579
530723092,1819
530723093,1285
530723094,910
530723101,1003
530723102,684
530723103,2006
530723111,1380
530723112,1184
530723113,1776
530723121,2648
530723122,1337
530723123,1658
530723131,2132
530723132,1381
530724051,1900
530724052,2443
530724061,2038
530724062,2001
530724063,2146
530724071,1624
530724072,1570
530724073,1519
530724081,1252
530724082,2083
530724083,1068
530724084,1504
530724091,1454
530724092,1072
530724101,1911
530724102,1645
530725031,1809
530725032,2583
530725041,1939
530725042,3126
530725051,1315
530725052,1425
530725053,3366
530725054,1148
530725061,1143
530725062,2262
530725071,664
530725072,1875
530726011,2503
530726012,1093
530726013,1761
530726021,948
530726022,2044
530726023,1354
530726031,783
530726032,966
530726033,877
530726034,1643
530726035,701
530728001,5671
530728002,3335
530729011,3167
530729031,3454
530729051,3063
530729052,1382
530729053,1621
530729061,1015
530729062,962
530729071,2044
530729072,3922
530729073,0
530730011,912
530730012,1048
530730013,1646
530730014,1251
530730015,1038
530730051,1051
530730052,1254
530730053,1093
530730054,2036
530730061,2472
530730062,1011
530731081,2322
530731082,3604
530731083,2097
530731101,1769
530731102,2033
530731111,1986
530731112,1395
530731113,780
530731131,1817
530731132,2604
530731133,2537
530731141,2408
530731142,1821
530731143,1271
530731151,2100
530731152,1517
530731153,474
530731161,2195
530731162,1082
530731171,2012
530731172,1856
530731181,1910
530731182,2373
530731191,827
530731192,2289
530731201,2254
530731202,2110
530731211,2324
530731212,2754
530731221,1338
530731222,2954
530731231,3226
530731232,1651
530731241,940
530731242,2580
530731251,4449
530731252,1599
530731253,3573
530731261,4173
530732001,1355
530732002,826
530732003,1326
530732004,2032
530733011,3367
530733012,1331
530733013,207
530733014,983
530733021,1261
530733022,1316
530733023,1155
530734041,1338
530734042,899
530734043,706
530734044,1034
530734045,1873
530734051,1933
530734052,1431
530734061,1715
530734062,1458
530734063,1851
530734071,1483
530734072,943
530734073,1309
530734081,2181
530734082,994
530734083,826
530735001,1185
530735002,1282
530735003,1052
530735004,919
530735005,1365
530735006,1406
539400011,1378
539400012,1303
539400021,1494
539400022,1163
539400023,1130
539400031,3340
539400032,1605
539400033,2228
539400041,1467
539400042,559
539400043,852
539400044,805
539400045,1240
539400046,1434
539400051,1509
539400052,2127
539400053,2226
539400061,1526
539400062,1351
539400071,752
539400072,1238
539400073,1135
539400081,2786
539400082,2044
539400083,1266
539400091,1751
539400092,1083
539400101,1944
539400102,1555
539400103,606
539400111,1458
539400112,1802
539400113,1014
