Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),id,Geographic Area Name
39271,12084,1500000US530530715032,"Block Group 2, Census Tract 715.03, Pierce County, Washington"
41771,32248,1500000US530530715033,"Block Group 3, Census Tract 715.03, Pierce County, Washington"
93333,85150,1500000US530530715034,"Block Group 4, Census Tract 715.03, Pierce County, Washington"
35417,10335,1500000US530530715041,"Block Group 1, Census Tract 715.04, Pierce County, Washington"
51458,28817,1500000US530530715042,"Block Group 2, Census Tract 715.04, Pierce County, Washington"
50492,12064,1500000US530530715043,"Block Group 3, Census Tract 715.04, Pierce County, Washington"
41875,13589,1500000US530530715044,"Block Group 4, Census Tract 715.04, Pierce County, Washington"
69167,28821,1500000US530530715051,"Block Group 1, Census Tract 715.05, Pierce County, Washington"
58750,21651,1500000US530530715052,"Block Group 2, Census Tract 715.05, Pierce County, Washington"
74653,8789,1500000US530530715053,"Block Group 3, Census Tract 715.05, Pierce County, Washington"
40682,13684,1500000US530530715054,"Block Group 4, Census Tract 715.05, Pierce County, Washington"
62438,18429,1500000US530530715061,"Block Group 1, Census Tract 715.06, Pierce County, Washington"
69569,10382,1500000US530530715062,"Block Group 2, Census Tract 715.06, Pierce County, Washington"
72866,4531,1500000US530530715063,"Block Group 3, Census Tract 715.06, Pierce County, Washington"
37620,6188,1500000US530530716011,"Block Group 1, Census Tract 716.01, Pierce County, Washington"
46600,5048,1500000US530530716012,"Block Group 2, Census Tract 716.01, Pierce County, Washington"
50833,6764,1500000US530530716021,"Block Group 1, Census Tract 716.02, Pierce County, Washington"
37595,5830,1500000US530530716022,"Block Group 2, Census Tract 716.02, Pierce County, Washington"
56281,21915,1500000US530530716023,"Block Group 3, Census Tract 716.02, Pierce County, Washington"
36818,30776,1500000US530530716024,"Block Group 4, Census Tract 716.02, Pierce County, Washington"
28340,3515,1500000US530530717031,"Block Group 1, Census Tract 717.03, Pierce County, Washington"
32321,19252,1500000US530530717032,"Block Group 2, Census Tract 717.03, Pierce County, Washington"
32130,8285,1500000US530530717041,"Block Group 1, Census Tract 717.04, Pierce County, Washington"
31034,5579,1500000US530530717042,"Block Group 2, Census Tract 717.04, Pierce County, Washington"
30119,3314,1500000US530530717043,"Block Group 3, Census Tract 717.04, Pierce County, Washington"
36034,9882,1500000US530530717051,"Block Group 1, Census Tract 717.05, Pierce County, Washington"
42665,3487,1500000US530530717052,"Block Group 2, Census Tract 717.05, Pierce County, Washington"
70250,23266,1500000US530530717053,"Block Group 3, Census Tract 717.05, Pierce County, Washington"
38631,3850,1500000US530530717061,"Block Group 1, Census Tract 717.06, Pierce County, Washington"
38179,5578,1500000US530530717071,"Block Group 1, Census Tract 717.07, Pierce County, Washington"
58831,7015,1500000US530530717072,"Block Group 2, Census Tract 717.07, Pierce County, Washington"
41310,12066,1500000US530530717073,"Block Group 3, Census Tract 717.07, Pierce County, Washington"
51548,9021,1500000US530530718031,"Block Group 1, Census Tract 718.03, Pierce County, Washington"
43302,17008,1500000US530530718032,"Block Group 2, Census Tract 718.03, Pierce County, Washington"
27930,2550,1500000US530530718033,"Block Group 3, Census Tract 718.03, Pierce County, Washington"
33024,16391,1500000US530530718034,"Block Group 4, Census Tract 718.03, Pierce County, Washington"
27344,8230,1500000US530530718051,"Block Group 1, Census Tract 718.05, Pierce County, Washington"
54479,26524,1500000US530530718052,"Block Group 2, Census Tract 718.05, Pierce County, Washington"
31065,13639,1500000US530530718053,"Block Group 3, Census Tract 718.05, Pierce County, Washington"
22021,4746,1500000US530530718061,"Block Group 1, Census Tract 718.06, Pierce County, Washington"
25787,3945,1500000US530530718062,"Block Group 2, Census Tract 718.06, Pierce County, Washington"
40038,7489,1500000US530530718071,"Block Group 1, Census Tract 718.07, Pierce County, Washington"
41534,6682,1500000US530530718072,"Block Group 2, Census Tract 718.07, Pierce County, Washington"
30938,20677,1500000US530530718081,"Block Group 1, Census Tract 718.08, Pierce County, Washington"
39583,9444,1500000US530530718082,"Block Group 2, Census Tract 718.08, Pierce County, Washington"
30189,2894,1500000US530530718083,"Block Group 3, Census Tract 718.08, Pierce County, Washington"
33462,7860,1500000US530530719011,"Block Group 1, Census Tract 719.01, Pierce County, Washington"
49063,2975,1500000US530530719012,"Block Group 2, Census Tract 719.01, Pierce County, Washington"
28571,3272,1500000US530530719013,"Block Group 3, Census Tract 719.01, Pierce County, Washington"
91705,28058,1500000US530530719014,"Block Group 4, Census Tract 719.01, Pierce County, Washington"
73599,25551,1500000US530530719021,"Block Group 1, Census Tract 719.02, Pierce County, Washington"
76554,9315,1500000US530530719022,"Block Group 2, Census Tract 719.02, Pierce County, Washington"
91343,15335,1500000US530530719023,"Block Group 3, Census Tract 719.02, Pierce County, Washington"
94853,53645,1500000US530530719024,"Block Group 4, Census Tract 719.02, Pierce County, Washington"
111250,31226,1500000US530530719025,"Block Group 5, Census Tract 719.02, Pierce County, Washington"
21265,5412,1500000US530530720001,"Block Group 1, Census Tract 720, Pierce County, Washington"
22043,8574,1500000US530530720002,"Block Group 2, Census Tract 720, Pierce County, Washington"
30721,14282,1500000US530530720003,"Block Group 3, Census Tract 720, Pierce County, Washington"
null,null,1500000US530530720004,"Block Group 4, Census Tract 720, Pierce County, Washington"
102125,17450,1500000US530530721051,"Block Group 1, Census Tract 721.05, Pierce County, Washington"
74261,13150,1500000US530530721052,"Block Group 2, Census Tract 721.05, Pierce County, Washington"
-,**,1500000US530530721053,"Block Group 3, Census Tract 721.05, Pierce County, Washington"
60313,14408,1500000US530530721054,"Block Group 4, Census Tract 721.05, Pierce County, Washington"
54615,35728,1500000US530530721061,"Block Group 1, Census Tract 721.06, Pierce County, Washington"
70511,28886,1500000US530530721062,"Block Group 2, Census Tract 721.06, Pierce County, Washington"
30286,14056,1500000US530530721063,"Block Group 3, Census Tract 721.06, Pierce County, Washington"
43398,9358,1500000US530530721064,"Block Group 4, Census Tract 721.06, Pierce County, Washington"
64167,23801,1500000US530530721071,"Block Group 1, Census Tract 721.07, Pierce County, Washington"
87788,14638,1500000US530530721072,"Block Group 2, Census Tract 721.07, Pierce County, Washington"
46429,18230,1500000US530530721073,"Block Group 3, Census Tract 721.07, Pierce County, Washington"
65400,14941,1500000US530530721074,"Block Group 4, Census Tract 721.07, Pierce County, Washington"
63750,16639,1500000US530530721081,"Block Group 1, Census Tract 721.08, Pierce County, Washington"
53250,14857,1500000US530530721082,"Block Group 2, Census Tract 721.08, Pierce County, Washington"
50357,38659,1500000US530530721083,"Block Group 3, Census Tract 721.08, Pierce County, Washington"
42092,11703,1500000US530530721084,"Block Group 4, Census Tract 721.08, Pierce County, Washington"
67610,16986,1500000US530530721085,"Block Group 5, Census Tract 721.08, Pierce County, Washington"
88229,9471,1500000US530530721091,"Block Group 1, Census Tract 721.09, Pierce County, Washington"
51701,3242,1500000US530530721092,"Block Group 2, Census Tract 721.09, Pierce County, Washington"
59444,17198,1500000US530530721111,"Block Group 1, Census Tract 721.11, Pierce County, Washington"
56500,15828,1500000US530530721112,"Block Group 2, Census Tract 721.11, Pierce County, Washington"
64306,9701,1500000US530530721121,"Block Group 1, Census Tract 721.12, Pierce County, Washington"
58635,4419,1500000US530530721122,"Block Group 2, Census Tract 721.12, Pierce County, Washington"
43438,11572,1500000US530530721123,"Block Group 3, Census Tract 721.12, Pierce County, Washington"
32933,11621,1500000US530530723051,"Block Group 1, Census Tract 723.05, Pierce County, Washington"
83750,16547,1500000US530530723052,"Block Group 2, Census Tract 723.05, Pierce County, Washington"
78621,21655,1500000US530530723053,"Block Group 3, Census Tract 723.05, Pierce County, Washington"
63947,29208,1500000US530530723054,"Block Group 4, Census Tract 723.05, Pierce County, Washington"
48750,23647,1500000US530530723055,"Block Group 5, Census Tract 723.05, Pierce County, Washington"
49844,14662,1500000US530530723056,"Block Group 6, Census Tract 723.05, Pierce County, Washington"
28100,6458,1500000US530530723071,"Block Group 1, Census Tract 723.07, Pierce County, Washington"
117273,60266,1500000US530530723072,"Block Group 2, Census Tract 723.07, Pierce County, Washington"
70357,25309,1500000US530530723073,"Block Group 3, Census Tract 723.07, Pierce County, Washington"
63542,11546,1500000US530530723074,"Block Group 4, Census Tract 723.07, Pierce County, Washington"
45947,18077,1500000US530530723081,"Block Group 1, Census Tract 723.08, Pierce County, Washington"
100466,27942,1500000US530530723082,"Block Group 2, Census Tract 723.08, Pierce County, Washington"
85434,9259,1500000US530530723083,"Block Group 3, Census Tract 723.08, Pierce County, Washington"
52019,19849,1500000US530530723084,"Block Group 4, Census Tract 723.08, Pierce County, Washington"
85586,44569,1500000US530530723085,"Block Group 5, Census Tract 723.08, Pierce County, Washington"
95076,11445,1500000US530530723091,"Block Group 1, Census Tract 723.09, Pierce County, Washington"
60307,20319,1500000US530530723092,"Block Group 2, Census Tract 723.09, Pierce County, Washington"
47746,10707,1500000US530530723093,"Block Group 3, Census Tract 723.09, Pierce County, Washington"
57385,30353,1500000US530530723094,"Block Group 4, Census Tract 723.09, Pierce County, Washington"
63466,13112,1500000US530530723101,"Block Group 1, Census Tract 723.10, Pierce County, Washington"
60694,22979,1500000US530530723102,"Block Group 2, Census Tract 723.10, Pierce County, Washington"
61964,18989,1500000US530530723103,"Block Group 3, Census Tract 723.10, Pierce County, Washington"
42866,3817,1500000US530530723111,"Block Group 1, Census Tract 723.11, Pierce County, Washington"
32214,9003,1500000US530530723112,"Block Group 2, Census Tract 723.11, Pierce County, Washington"
56731,15627,1500000US530530723113,"Block Group 3, Census Tract 723.11, Pierce County, Washington"
99737,10938,1500000US530530723121,"Block Group 1, Census Tract 723.12, Pierce County, Washington"
39550,18245,1500000US530530723122,"Block Group 2, Census Tract 723.12, Pierce County, Washington"
30148,10658,1500000US530530723123,"Block Group 3, Census Tract 723.12, Pierce County, Washington"
74306,23347,1500000US530530723131,"Block Group 1, Census Tract 723.13, Pierce County, Washington"
65625,30069,1500000US530530723132,"Block Group 2, Census Tract 723.13, Pierce County, Washington"
104667,26790,1500000US530530724051,"Block Group 1, Census Tract 724.05, Pierce County, Washington"
87604,14665,1500000US530530724052,"Block Group 2, Census Tract 724.05, Pierce County, Washington"
100938,19419,1500000US530530724061,"Block Group 1, Census Tract 724.06, Pierce County, Washington"
76000,14615,1500000US530530724062,"Block Group 2, Census Tract 724.06, Pierce County, Washington"
103750,19786,1500000US530530724063,"Block Group 3, Census Tract 724.06, Pierce County, Washington"
50118,16946,1500000US530530724071,"Block Group 1, Census Tract 724.07, Pierce County, Washington"
62220,21149,1500000US530530724072,"Block Group 2, Census Tract 724.07, Pierce County, Washington"
72071,8605,1500000US530530724073,"Block Group 3, Census Tract 724.07, Pierce County, Washington"
75917,15875,1500000US530530724081,"Block Group 1, Census Tract 724.08, Pierce County, Washington"
67036,11549,1500000US530530724082,"Block Group 2, Census Tract 724.08, Pierce County, Washington"
110208,35077,1500000US530530724083,"Block Group 3, Census Tract 724.08, Pierce County, Washington"
85982,11726,1500000US530530724084,"Block Group 4, Census Tract 724.08, Pierce County, Washington"
103438,19400,1500000US530530724091,"Block Group 1, Census Tract 724.09, Pierce County, Washington"
87750,16195,1500000US530530724092,"Block Group 2, Census Tract 724.09, Pierce County, Washington"
87308,16385,1500000US530530724101,"Block Group 1, Census Tract 724.10, Pierce County, Washington"
98333,22253,1500000US530530724102,"Block Group 2, Census Tract 724.10, Pierce County, Washington"
58688,10470,1500000US530530725031,"Block Group 1, Census Tract 725.03, Pierce County, Washington"
76917,11846,1500000US530530725032,"Block Group 2, Census Tract 725.03, Pierce County, Washington"
83661,12766,1500000US530530725041,"Block Group 1, Census Tract 725.04, Pierce County, Washington"
91512,12749,1500000US530530725042,"Block Group 2, Census Tract 725.04, Pierce County, Washington"
63083,42548,1500000US530530725051,"Block Group 1, Census Tract 725.05, Pierce County, Washington"
99083,36172,1500000US530530725052,"Block Group 2, Census Tract 725.05, Pierce County, Washington"
81125,60202,1500000US530530725053,"Block Group 3, Census Tract 725.05, Pierce County, Washington"
108520,21704,1500000US530530725054,"Block Group 4, Census Tract 725.05, Pierce County, Washington"
43654,29766,1500000US530530725061,"Block Group 1, Census Tract 725.06, Pierce County, Washington"
96786,20650,1500000US530530725062,"Block Group 2, Census Tract 725.06, Pierce County, Washington"
119261,33207,1500000US530530725071,"Block Group 1, Census Tract 725.07, Pierce County, Washington"
60027,9439,1500000US530530725072,"Block Group 2, Census Tract 725.07, Pierce County, Washington"
66875,21100,1500000US530530726011,"Block Group 1, Census Tract 726.01, Pierce County, Washington"
61563,21381,1500000US530530726012,"Block Group 2, Census Tract 726.01, Pierce County, Washington"
56964,13397,1500000US530530726013,"Block Group 3, Census Tract 726.01, Pierce County, Washington"
66250,15970,1500000US530530726021,"Block Group 1, Census Tract 726.02, Pierce County, Washington"
45417,9101,1500000US530530726022,"Block Group 2, Census Tract 726.02, Pierce County, Washington"
53846,15804,1500000US530530726023,"Block Group 3, Census Tract 726.02, Pierce County, Washington"
55060,15993,1500000US530530726031,"Block Group 1, Census Tract 726.03, Pierce County, Washington"
59815,9892,1500000US530530726032,"Block Group 2, Census Tract 726.03, Pierce County, Washington"
44706,24074,1500000US530530726033,"Block Group 3, Census Tract 726.03, Pierce County, Washington"
42045,6485,1500000US530530726034,"Block Group 4, Census Tract 726.03, Pierce County, Washington"
-,**,1500000US530530726035,"Block Group 5, Census Tract 726.03, Pierce County, Washington"
87847,17092,1500000US530530728001,"Block Group 1, Census Tract 728, Pierce County, Washington"
72590,5329,1500000US530530728002,"Block Group 2, Census Tract 728, Pierce County, Washington"
47500,8142,1500000US530530729011,"Block Group 1, Census Tract 729.01, Pierce County, Washington"
62500,13173,1500000US530530729031,"Block Group 1, Census Tract 729.03, Pierce County, Washington"
47894,10520,1500000US530530729051,"Block Group 1, Census Tract 729.05, Pierce County, Washington"
43224,5504,1500000US530530729052,"Block Group 2, Census Tract 729.05, Pierce County, Washington"
40455,6167,1500000US530530729053,"Block Group 3, Census Tract 729.05, Pierce County, Washington"
-,**,1500000US530530729061,"Block Group 1, Census Tract 729.06, Pierce County, Washington"
135577,70195,1500000US530530729062,"Block Group 2, Census Tract 729.06, Pierce County, Washington"
47500,16494,1500000US530530729071,"Block Group 1, Census Tract 729.07, Pierce County, Washington"
47105,7045,1500000US530530729072,"Block Group 2, Census Tract 729.07, Pierce County, Washington"
-,**,1500000US530530729073,"Block Group 3, Census Tract 729.07, Pierce County, Washington"
68068,40599,1500000US530530730011,"Block Group 1, Census Tract 730.01, Pierce County, Washington"
81524,77575,1500000US530530730012,"Block Group 2, Census Tract 730.01, Pierce County, Washington"
78750,43246,1500000US530530730013,"Block Group 3, Census Tract 730.01, Pierce County, Washington"
63036,9258,1500000US530530730014,"Block Group 4, Census Tract 730.01, Pierce County, Washington"
50827,10857,1500000US530530730015,"Block Group 5, Census Tract 730.01, Pierce County, Washington"
66250,29483,1500000US530530730051,"Block Group 1, Census Tract 730.05, Pierce County, Washington"
39512,17292,1500000US530530730052,"Block Group 2, Census Tract 730.05, Pierce County, Washington"
30405,17959,1500000US530530730053,"Block Group 3, Census Tract 730.05, Pierce County, Washington"
57647,11529,1500000US530530730054,"Block Group 4, Census Tract 730.05, Pierce County, Washington"
66354,11875,1500000US530530730061,"Block Group 1, Census Tract 730.06, Pierce County, Washington"
85000,20402,1500000US530530730062,"Block Group 2, Census Tract 730.06, Pierce County, Washington"
50726,6666,1500000US530530731081,"Block Group 1, Census Tract 731.08, Pierce County, Washington"
74321,17335,1500000US530530731082,"Block Group 2, Census Tract 731.08, Pierce County, Washington"
73490,16017,1500000US530530731083,"Block Group 3, Census Tract 731.08, Pierce County, Washington"
78529,14086,1500000US530530731101,"Block Group 1, Census Tract 731.10, Pierce County, Washington"
100054,9257,1500000US530530731102,"Block Group 2, Census Tract 731.10, Pierce County, Washington"
57031,8287,1500000US530530731111,"Block Group 1, Census Tract 731.11, Pierce County, Washington"
95521,13889,1500000US530530731112,"Block Group 2, Census Tract 731.11, Pierce County, Washington"
84286,15250,1500000US530530731113,"Block Group 3, Census Tract 731.11, Pierce County, Washington"
71250,17116,1500000US530530731131,"Block Group 1, Census Tract 731.13, Pierce County, Washington"
75694,17803,1500000US530530731132,"Block Group 2, Census Tract 731.13, Pierce County, Washington"
72778,12933,1500000US530530731133,"Block Group 3, Census Tract 731.13, Pierce County, Washington"
63199,4689,1500000US530530731141,"Block Group 1, Census Tract 731.14, Pierce County, Washington"
46500,4500,1500000US530530731142,"Block Group 2, Census Tract 731.14, Pierce County, Washington"
72857,17395,1500000US530530731143,"Block Group 3, Census Tract 731.14, Pierce County, Washington"
75000,14895,1500000US530530731151,"Block Group 1, Census Tract 731.15, Pierce County, Washington"
75409,6406,1500000US530530731152,"Block Group 2, Census Tract 731.15, Pierce County, Washington"
null,null,1500000US530530731153,"Block Group 3, Census Tract 731.15, Pierce County, Washington"
71667,17577,1500000US530530731161,"Block Group 1, Census Tract 731.16, Pierce County, Washington"
58185,11508,1500000US530530731162,"Block Group 2, Census Tract 731.16, Pierce County, Washington"
67273,13523,1500000US530530731171,"Block Group 1, Census Tract 731.17, Pierce County, Washington"
54333,13941,1500000US530530731172,"Block Group 2, Census Tract 731.17, Pierce County, Washington"
74107,5404,1500000US530530731181,"Block Group 1, Census Tract 731.18, Pierce County, Washington"
84583,21273,1500000US530530731182,"Block Group 2, Census Tract 731.18, Pierce County, Washington"
73125,8849,1500000US530530731191,"Block Group 1, Census Tract 731.19, Pierce County, Washington"
84918,10190,1500000US530530731192,"Block Group 2, Census Tract 731.19, Pierce County, Washington"
55625,21868,1500000US530530731201,"Block Group 1, Census Tract 731.20, Pierce County, Washington"
53448,10886,1500000US530530731202,"Block Group 2, Census Tract 731.20, Pierce County, Washington"
71250,15768,1500000US530530731211,"Block Group 1, Census Tract 731.21, Pierce County, Washington"
91806,11467,1500000US530530731212,"Block Group 2, Census Tract 731.21, Pierce County, Washington"
82639,22430,1500000US530530731221,"Block Group 1, Census Tract 731.22, Pierce County, Washington"
74007,13361,1500000US530530731222,"Block Group 2, Census Tract 731.22, Pierce County, Washington"
106071,29294,1500000US530530731231,"Block Group 1, Census Tract 731.23, Pierce County, Washington"
65063,10448,1500000US530530731232,"Block Group 2, Census Tract 731.23, Pierce County, Washington"
50714,19969,1500000US530530731241,"Block Group 1, Census Tract 731.24, Pierce County, Washington"
65476,9135,1500000US530530731242,"Block Group 2, Census Tract 731.24, Pierce County, Washington"
68125,15138,1500000US530530731251,"Block Group 1, Census Tract 731.25, Pierce County, Washington"
76984,40979,1500000US530530731252,"Block Group 2, Census Tract 731.25, Pierce County, Washington"
61500,23518,1500000US530530731253,"Block Group 3, Census Tract 731.25, Pierce County, Washington"
75625,20922,1500000US530530731261,"Block Group 1, Census Tract 731.26, Pierce County, Washington"
60134,6883,1500000US530530732001,"Block Group 1, Census Tract 732, Pierce County, Washington"
52738,16835,1500000US530530732002,"Block Group 2, Census Tract 732, Pierce County, Washington"
67895,27363,1500000US530530732003,"Block Group 3, Census Tract 732, Pierce County, Washington"
40781,9158,1500000US530530732004,"Block Group 4, Census Tract 732, Pierce County, Washington"
59297,29805,1500000US530530733011,"Block Group 1, Census Tract 733.01, Pierce County, Washington"
37006,7458,1500000US530530733012,"Block Group 2, Census Tract 733.01, Pierce County, Washington"
85227,46798,1500000US530530733013,"Block Group 3, Census Tract 733.01, Pierce County, Washington"
43117,8591,1500000US530530733014,"Block Group 4, Census Tract 733.01, Pierce County, Washington"
66833,14249,1500000US530530733021,"Block Group 1, Census Tract 733.02, Pierce County, Washington"
62917,11013,1500000US530530733022,"Block Group 2, Census Tract 733.02, Pierce County, Washington"
56510,4784,1500000US530530733023,"Block Group 3, Census Tract 733.02, Pierce County, Washington"
45938,28602,1500000US530530734041,"Block Group 1, Census Tract 734.04, Pierce County, Washington"
43616,7061,1500000US530530734042,"Block Group 2, Census Tract 734.04, Pierce County, Washington"
71518,24444,1500000US530530734043,"Block Group 3, Census Tract 734.04, Pierce County, Washington"
60278,31140,1500000US530530734044,"Block Group 4, Census Tract 734.04, Pierce County, Washington"
82134,16952,1500000US530530734045,"Block Group 5, Census Tract 734.04, Pierce County, Washington"
65781,18495,1500000US530530734051,"Block Group 1, Census Tract 734.05, Pierce County, Washington"
57798,11318,1500000US530530734052,"Block Group 2, Census Tract 734.05, Pierce County, Washington"
100507,28588,1500000US530530734061,"Block Group 1, Census Tract 734.06, Pierce County, Washington"
70265,17618,1500000US530530734062,"Block Group 2, Census Tract 734.06, Pierce County, Washington"
51604,14488,1500000US530530734063,"Block Group 3, Census Tract 734.06, Pierce County, Washington"
59028,21038,1500000US530530734071,"Block Group 1, Census Tract 734.07, Pierce County, Washington"
60625,5841,1500000US530530734072,"Block Group 2, Census Tract 734.07, Pierce County, Washington"
88125,19267,1500000US530530734073,"Block Group 3, Census Tract 734.07, Pierce County, Washington"
59194,7816,1500000US530530734081,"Block Group 1, Census Tract 734.08, Pierce County, Washington"
59625,15467,1500000US530530734082,"Block Group 2, Census Tract 734.08, Pierce County, Washington"
43194,10002,1500000US530530734083,"Block Group 3, Census Tract 734.08, Pierce County, Washington"
91776,32445,1500000US530530735001,"Block Group 1, Census Tract 735, Pierce County, Washington"
81795,14662,1500000US530530735002,"Block Group 2, Census Tract 735, Pierce County, Washington"
81089,14493,1500000US530530735003,"Block Group 3, Census Tract 735, Pierce County, Washington"
107432,80371,1500000US530530735004,"Block Group 4, Census Tract 735, Pierce County, Washington"
49853,6898,1500000US530530735005,"Block Group 5, Census Tract 735, Pierce County, Washington"
64932,41667,1500000US530530735006,"Block Group 6, Census Tract 735, Pierce County, Washington"
103365,7227,1500000US530539400011,"Block Group 1, Census Tract 9400.01, Pierce County, Washington"
79323,17735,1500000US530539400012,"Block Group 2, Census Tract 9400.01, Pierce County, Washington"
57500,13834,1500000US530539400021,"Block Group 1, Census Tract 9400.02, Pierce County, Washington"
45000,9485,1500000US530539400022,"Block Group 2, Census Tract 9400.02, Pierce County, Washington"
65147,7534,1500000US530539400023,"Block Group 3, Census Tract 9400.02, Pierce County, Washington"
85650,5002,1500000US530539400031,"Block Group 1, Census Tract 9400.03, Pierce County, Washington"
54833,7253,1500000US530539400032,"Block Group 2, Census Tract 9400.03, Pierce County, Washington"
37196,5647,1500000US530539400033,"Block Group 3, Census Tract 9400.03, Pierce County, Washington"
62426,27901,1500000US530539400041,"Block Group 1, Census Tract 9400.04, Pierce County, Washington"
93235,33262,1500000US530539400042,"Block Group 2, Census Tract 9400.04, Pierce County, Washington"
37368,7452,1500000US530539400043,"Block Group 3, Census Tract 9400.04, Pierce County, Washington"
67813,16107,1500000US530539400044,"Block Group 4, Census Tract 9400.04, Pierce County, Washington"
70750,6174,1500000US530539400045,"Block Group 5, Census Tract 9400.04, Pierce County, Washington"
85536,18455,1500000US530539400046,"Block Group 6, Census Tract 9400.04, Pierce County, Washington"
78625,11673,1500000US530539400051,"Block Group 1, Census Tract 9400.05, Pierce County, Washington"
80069,5689,1500000US530539400052,"Block Group 2, Census Tract 9400.05, Pierce County, Washington"
69792,4923,1500000US530539400053,"Block Group 3, Census Tract 9400.05, Pierce County, Washington"
21250,2974,1500000US530539400061,"Block Group 1, Census Tract 9400.06, Pierce County, Washington"
12875,3156,1500000US530539400062,"Block Group 2, Census Tract 9400.06, Pierce County, Washington"
36181,5615,1500000US530539400071,"Block Group 1, Census Tract 9400.07, Pierce County, Washington"
45313,17452,1500000US530539400072,"Block Group 2, Census Tract 9400.07, Pierce County, Washington"
39250,12774,1500000US530539400073,"Block Group 3, Census Tract 9400.07, Pierce County, Washington"
68670,3982,1500000US530539400081,"Block Group 1, Census Tract 9400.08, Pierce County, Washington"
83375,11658,1500000US530539400082,"Block Group 2, Census Tract 9400.08, Pierce County, Washington"
78750,23953,1500000US530539400083,"Block Group 3, Census Tract 9400.08, Pierce County, Washington"
66469,5501,1500000US530539400091,"Block Group 1, Census Tract 9400.09, Pierce County, Washington"
98125,28143,1500000US530539400092,"Block Group 2, Census Tract 9400.09, Pierce County, Washington"
51875,11803,1500000US530539400101,"Block Group 1, Census Tract 9400.10, Pierce County, Washington"
47950,5044,1500000US530539400102,"Block Group 2, Census Tract 9400.10, Pierce County, Washington"
42500,24952,1500000US530539400103,"Block Group 3, Census Tract 9400.10, Pierce County, Washington"
101875,7767,1500000US530539400111,"Block Group 1, Census Tract 9400.11, Pierce County, Washington"
129083,9850,1500000US530539400112,"Block Group 2, Census Tract 9400.11, Pierce County, Washington"
77708,15047,1500000US530539400113,"Block Group 3, Census Tract 9400.11, Pierce County, Washington"
