id,newid,Y15_Pop
1500000US530530602001,530602001,1020
1500000US530530603001,530603001,1258
1500000US530530603002,530603002,1236
1500000US530530603003,530603003,1658
1500000US530530604001,530604001,692
1500000US530530604002,530604002,702
1500000US530530604003,530604003,760
1500000US530530604004,530604004,999
1500000US530530604005,530604005,754
1500000US530530605001,530605001,817
1500000US530530605002,530605002,979
1500000US530530605003,530605003,859
1500000US530530605004,530605004,574
1500000US530530605005,530605005,890
1500000US530530606001,530606001,1246
1500000US530530606002,530606002,1217
1500000US530530606003,530606003,819
1500000US530530606004,530606004,863
1500000US530530606005,530606005,557
1500000US530530606006,530606006,642
1500000US530530607001,530607001,1084
1500000US530530607002,530607002,952
1500000US530530607003,530607003,1213
1500000US530530607004,530607004,1048
1500000US530530607005,530607005,1415
1500000US530530607006,530607006,772
1500000US530530608001,530608001,787
1500000US530530608002,530608002,618
1500000US530530608003,530608003,787
1500000US530530608004,530608004,523
1500000US530530608005,530608005,823
1500000US530530608006,530608006,991
1500000US530530608007,530608007,578
1500000US530530609031,530609031,1053
1500000US530530609032,530609032,1083
1500000US530530609033,530609033,1328
1500000US530530609041,530609041,819
1500000US530530609042,530609042,1808
1500000US530530609043,530609043,1061
1500000US530530609044,530609044,1433
1500000US530530609051,530609051,2103
1500000US530530609052,530609052,965
1500000US530530609053,530609053,983
1500000US530530609054,530609054,1582
1500000US530530609055,530609055,1165
1500000US530530609061,530609061,1627
1500000US530530609062,530609062,686
1500000US530530610011,530610011,1025
1500000US530530610012,530610012,928
1500000US530530610013,530610013,1843
1500000US530530610021,530610021,1853
1500000US530530610022,530610022,775
1500000US530530610023,530610023,1101
1500000US530530610024,530610024,544
1500000US530530611001,530611001,1345
1500000US530530611002,530611002,522
1500000US530530611003,530611003,586
1500000US530530611004,530611004,724
1500000US530530611005,530611005,996
1500000US530530611006,530611006,1402
1500000US530530611007,530611007,1190
1500000US530530612001,530612001,1409
1500000US530530612002,530612002,686
1500000US530530612003,530612003,936
1500000US530530612004,530612004,853
1500000US530530612005,530612005,631
1500000US530530612006,530612006,962
1500000US530530613001,530613001,760
1500000US530530613002,530613002,1059
1500000US530530613003,530613003,918
1500000US530530613004,530613004,780
1500000US530530613005,530613005,771
1500000US530530613006,530613006,897
1500000US530530614001,530614001,973
1500000US530530614002,530614002,1569
1500000US530530614003,530614003,1057
1500000US530530615001,530615001,1647
1500000US530530615002,530615002,1412
1500000US530530615003,530615003,894
1500000US530530615004,530615004,1047
1500000US530530616011,530616011,1925
1500000US530530616021,530616021,846
1500000US530530617001,530617001,1101
1500000US530530617002,530617002,989
1500000US530530617003,530617003,855
1500000US530530617004,530617004,528
1500000US530530617005,530617005,1096
1500000US530530618001,530618001,1094
1500000US530530618002,530618002,1147
1500000US530530618003,530618003,566
1500000US530530619001,530619001,862
1500000US530530619002,530619002,923
1500000US530530620001,530620001,920
1500000US530530620002,530620002,1155
1500000US530530620003,530620003,1082
1500000US530530620004,530620004,1383
1500000US530530623001,530623001,1389
1500000US530530623002,530623002,1438
1500000US530530623003,530623003,1352
1500000US530530623004,530623004,1085
1500000US530530624001,530624001,1651
1500000US530530624002,530624002,993
1500000US530530624003,530624003,1095
1500000US530530624004,530624004,975
1500000US530530624005,530624005,808
1500000US530530625001,530625001,1309
1500000US530530625002,530625002,1663
1500000US530530625003,530625003,504
1500000US530530625004,530625004,1067
1500000US530530625005,530625005,1649
1500000US530530625006,530625006,695
1500000US530530625007,530625007,1030
1500000US530530626001,530626001,1099
1500000US530530626002,530626002,2067
1500000US530530628011,530628011,1222
1500000US530530628012,530628012,2076
1500000US530530628013,530628013,1865
1500000US530530628014,530628014,1245
1500000US530530628021,530628021,1828
1500000US530530628022,530628022,1377
1500000US530530628023,530628023,954
1500000US530530629001,530629001,2681
1500000US530530629002,530629002,1482
1500000US530530629003,530629003,719
1500000US530530629004,530629004,815
1500000US530530629005,530629005,852
1500000US530530629006,530629006,857
1500000US530530630001,530630001,1280
1500000US530530630002,530630002,1769
1500000US530530631001,530631001,881
1500000US530530631002,530631002,1267
1500000US530530631003,530631003,830
1500000US530530631004,530631004,1481
1500000US530530632001,530632001,1171
1500000US530530632002,530632002,2091
1500000US530530632003,530632003,694
1500000US530530632004,530632004,730
1500000US530530632005,530632005,825
1500000US530530633001,530633001,1667
1500000US530530633002,530633002,3141
1500000US530530633003,530633003,1379
1500000US530530633004,530633004,1149
1500000US530530633005,530633005,1177
1500000US530530634001,530634001,910
1500000US530530634002,530634002,2317
1500000US530530634003,530634003,771
1500000US530530634004,530634004,646
1500000US530530634005,530634005,1474
1500000US530530634006,530634006,1235
1500000US530530635011,530635011,801
1500000US530530635012,530635012,1103
1500000US530530635013,530635013,1059
1500000US530530635014,530635014,1400
1500000US530530635021,530635021,1149
1500000US530530635022,530635022,2239
1500000US530530635023,530635023,1483
1500000US530530701001,530701001,688
1500000US530530701002,530701002,0
1500000US530530701003,530701003,1735
1500000US530530701004,530701004,1385
1500000US530530702031,530702031,2286
1500000US530530702032,530702032,2699
1500000US530530702033,530702033,693
1500000US530530702041,530702041,1614
1500000US530530702042,530702042,2240
1500000US530530702051,530702051,2325
1500000US530530702052,530702052,895
1500000US530530702061,530702061,1699
1500000US530530702062,530702062,1305
1500000US530530702063,530702063,1038
1500000US530530702071,530702071,1178
1500000US530530702072,530702072,1409
1500000US530530702073,530702073,1184
1500000US530530702074,530702074,1402
1500000US530530703071,530703071,1073
1500000US530530703072,530703072,1895
1500000US530530703073,530703073,2309
1500000US530530703081,530703081,1830
1500000US530530703082,530703082,1726
1500000US530530703091,530703091,1031
1500000US530530703092,530703092,2072
1500000US530530703093,530703093,2170
1500000US530530703101,530703101,1914
1500000US530530703102,530703102,739
1500000US530530703103,530703103,1941
1500000US530530703104,530703104,728
1500000US530530703111,530703111,1477
1500000US530530703112,530703112,1531
1500000US530530703113,530703113,2094
1500000US530530703121,530703121,1167
1500000US530530703122,530703122,3028
1500000US530530703123,530703123,1498
1500000US530530703131,530703131,1426
1500000US530530703132,530703132,873
1500000US530530703133,530703133,1529
1500000US530530703134,530703134,761
1500000US530530703135,530703135,1051
1500000US530530703141,530703141,1890
1500000US530530703142,530703142,1380
1500000US530530703151,530703151,1615
1500000US530530703152,530703152,1440
1500000US530530703153,530703153,1835
1500000US530530703154,530703154,707
1500000US530530703161,530703161,1661
1500000US530530703162,530703162,4095
1500000US530530704011,530704011,1562
1500000US530530704012,530704012,732
1500000US530530704031,530704031,976
1500000US530530704032,530704032,625
1500000US530530704033,530704033,2201
1500000US530530704041,530704041,2867
1500000US530530704042,530704042,2003
1500000US530530707031,530707031,925
1500000US530530707032,530707032,1500
1500000US530530707033,530707033,2000
1500000US530530707034,530707034,831
1500000US530530707035,530707035,942
1500000US530530711001,530711001,1359
1500000US530530711002,530711002,969
1500000US530530712051,530712051,1859
1500000US530530712052,530712052,3007
1500000US530530712061,530712061,885
1500000US530530712062,530712062,883
1500000US530530712063,530712063,2120
1500000US530530712064,530712064,2664
1500000US530530712071,530712071,1237
1500000US530530712072,530712072,2808
1500000US530530712073,530712073,2309
1500000US530530712081,530712081,1668
1500000US530530712082,530712082,2295
1500000US530530712083,530712083,3729
1500000US530530712091,530712091,2280
1500000US530530712092,530712092,889
1500000US530530712093,530712093,951
1500000US530530712101,530712101,751
1500000US530530712102,530712102,1120
1500000US530530712103,530712103,2650
1500000US530530713041,530713041,2104
1500000US530530713042,530713042,3238
1500000US530530713043,530713043,956
1500000US530530713051,530713051,2013
1500000US530530713052,530713052,1716
1500000US530530713061,530713061,1207
1500000US530530713062,530713062,1741
1500000US530530713063,530713063,2419
1500000US530530713064,530713064,1013
1500000US530530713071,530713071,1462
1500000US530530713072,530713072,996
1500000US530530713073,530713073,2251
1500000US530530713091,530713091,1579
1500000US530530713092,530713092,1534
1500000US530530713093,530713093,1362
1500000US530530713101,530713101,1835
1500000US530530713102,530713102,3105
1500000US530530714031,530714031,1713
1500000US530530714032,530714032,723
1500000US530530714033,530714033,1660
1500000US530530714061,530714061,3299
1500000US530530714062,530714062,1233
1500000US530530714063,530714063,547
1500000US530530714064,530714064,1913
1500000US530530714071,530714071,1403
1500000US530530714072,530714072,1834
1500000US530530714073,530714073,1857
1500000US530530714074,530714074,1917
1500000US530530714081,530714081,1828
1500000US530530714082,530714082,1265
1500000US530530714083,530714083,817
1500000US530530714091,530714091,1282
1500000US530530714092,530714092,1024
1500000US530530714093,530714093,1312
1500000US530530714094,530714094,842
1500000US530530714101,530714101,1487
1500000US530530714102,530714102,1578
1500000US530530714103,530714103,2388
1500000US530530714104,530714104,1648
1500000US530530714111,530714111,2344
1500000US530530714112,530714112,1190
1500000US530530714113,530714113,1735
1500000US530530715031,530715031,1282
1500000US530530715032,530715032,1963
1500000US530530715033,530715033,600
1500000US530530715034,530715034,1426
1500000US530530715041,530715041,1647
1500000US530530715042,530715042,2129
1500000US530530715043,530715043,907
1500000US530530715044,530715044,1155
1500000US530530715051,530715051,1630
1500000US530530715052,530715052,1012
1500000US530530715053,530715053,992
1500000US530530715054,530715054,1426
1500000US530530715061,530715061,1025
1500000US530530715062,530715062,2076
1500000US530530715063,530715063,1993
1500000US530530716011,530716011,3557
1500000US530530716012,530716012,1295
1500000US530530716021,530716021,2150
1500000US530530716022,530716022,1326
1500000US530530716023,530716023,2001
1500000US530530716024,530716024,1173
1500000US530530717031,530717031,2226
1500000US530530717032,530717032,1277
1500000US530530717041,530717041,2663
1500000US530530717042,530717042,1412
1500000US530530717043,530717043,898
1500000US530530717051,530717051,1372
1500000US530530717052,530717052,1381
1500000US530530717053,530717053,1068
1500000US530530717061,530717061,1872
1500000US530530717071,530717071,921
1500000US530530717072,530717072,696
1500000US530530717073,530717073,1235
1500000US530530718031,530718031,1728
1500000US530530718032,530718032,2219
1500000US530530718033,530718033,783
1500000US530530718034,530718034,792
1500000US530530718051,530718051,862
1500000US530530718052,530718052,1706
1500000US530530718053,530718053,1866
1500000US530530718061,530718061,2741
1500000US530530718062,530718062,1434
1500000US530530718071,530718071,1839
1500000US530530718072,530718072,1729
1500000US530530718081,530718081,1736
1500000US530530718082,530718082,1820
1500000US530530718083,530718083,632
1500000US530530719011,530719011,1810
1500000US530530719012,530719012,684
1500000US530530719013,530719013,856
1500000US530530719014,530719014,1574
1500000US530530719021,530719021,1598
1500000US530530719022,530719022,825
1500000US530530719023,530719023,1166
1500000US530530719024,530719024,550
1500000US530530719025,530719025,856
1500000US530530720001,530720001,1497
1500000US530530720002,530720002,1232
1500000US530530720003,530720003,838
1500000US530530720004,530720004,778
1500000US530530721051,530721051,1217
1500000US530530721052,530721052,1685
1500000US530530721053,530721053,710
1500000US530530721054,530721054,1665
1500000US530530721061,530721061,890
1500000US530530721062,530721062,1469
1500000US530530721063,530721063,2250
1500000US530530721064,530721064,1547
1500000US530530721071,530721071,1146
1500000US530530721072,530721072,1385
1500000US530530721073,530721073,932
1500000US530530721074,530721074,717
1500000US530530721081,530721081,896
1500000US530530721082,530721082,811
1500000US530530721083,530721083,676
1500000US530530721084,530721084,2209
1500000US530530721085,530721085,1103
1500000US530530721091,530721091,1551
1500000US530530721092,530721092,1864
1500000US530530721111,530721111,1679
1500000US530530721112,530721112,965
1500000US530530721121,530721121,1968
1500000US530530721122,530721122,1225
1500000US530530721123,530721123,1168
1500000US530530723051,530723051,1299
1500000US530530723052,530723052,804
1500000US530530723053,530723053,1090
1500000US530530723054,530723054,860
1500000US530530723055,530723055,1402
1500000US530530723056,530723056,539
1500000US530530723071,530723071,1849
1500000US530530723072,530723072,683
1500000US530530723073,530723073,758
1500000US530530723074,530723074,1189
1500000US530530723081,530723081,1472
1500000US530530723082,530723082,1719
1500000US530530723083,530723083,1266
1500000US530530723084,530723084,1411
1500000US530530723085,530723085,1670
1500000US530530723091,530723091,1606
1500000US530530723092,530723092,2235
1500000US530530723093,530723093,1211
1500000US530530723094,530723094,820
1500000US530530723101,530723101,1230
1500000US530530723102,530723102,568
1500000US530530723103,530723103,1902
1500000US530530723111,530723111,1383
1500000US530530723112,530723112,1135
1500000US530530723113,530723113,1894
1500000US530530723121,530723121,2368
1500000US530530723122,530723122,1359
1500000US530530723123,530723123,1518
1500000US530530723131,530723131,1965
1500000US530530723132,530723132,1624
1500000US530530724051,530724051,1778
1500000US530530724052,530724052,2335
1500000US530530724061,530724061,2177
1500000US530530724062,530724062,1828
1500000US530530724063,530724063,2065
1500000US530530724071,530724071,1881
1500000US530530724072,530724072,1627
1500000US530530724073,530724073,1287
1500000US530530724081,530724081,1400
1500000US530530724082,530724082,2133
1500000US530530724083,530724083,1045
1500000US530530724084,530724084,1431
1500000US530530724091,530724091,1433
1500000US530530724092,530724092,1139
1500000US530530724101,530724101,2043
1500000US530530724102,530724102,1688
1500000US530530725031,530725031,1617
1500000US530530725032,530725032,2834
1500000US530530725041,530725041,2138
1500000US530530725042,530725042,3104
1500000US530530725051,530725051,1240
1500000US530530725052,530725052,1494
1500000US530530725053,530725053,3054
1500000US530530725054,530725054,1275
1500000US530530725061,530725061,1008
1500000US530530725062,530725062,2125
1500000US530530725071,530725071,974
1500000US530530725072,530725072,1701
1500000US530530726011,530726011,2672
1500000US530530726012,530726012,1212
1500000US530530726013,530726013,1590
1500000US530530726021,530726021,982
1500000US530530726022,530726022,1776
1500000US530530726023,530726023,1432
1500000US530530726031,530726031,745
1500000US530530726032,530726032,710
1500000US530530726033,530726033,1053
1500000US530530726034,530726034,1826
1500000US530530726035,530726035,419
1500000US530530728001,530728001,5454
1500000US530530728002,530728002,3738
1500000US530530729011,530729011,3288
1500000US530530729031,530729031,3700
1500000US530530729051,530729051,2500
1500000US530530729052,530729052,1089
1500000US530530729053,530729053,2438
1500000US530530729061,530729061,1158
1500000US530530729062,530729062,399
1500000US530530729071,530729071,1790
1500000US530530729072,530729072,4002
1500000US530530729073,530729073,0
1500000US530530730011,530730011,796
1500000US530530730012,530730012,1530
1500000US530530730013,530730013,1839
1500000US530530730014,530730014,1016
1500000US530530730015,530730015,944
1500000US530530730051,530730051,887
1500000US530530730052,530730052,1655
1500000US530530730053,530730053,1370
1500000US530530730054,530730054,1588
1500000US530530730061,530730061,2533
1500000US530530730062,530730062,1230
1500000US530530731081,530731081,2073
1500000US530530731082,530731082,3577
1500000US530530731083,530731083,2376
1500000US530530731101,530731101,1591
1500000US530530731102,530731102,1986
1500000US530530731111,530731111,2265
1500000US530530731112,530731112,1324
1500000US530530731113,530731113,790
1500000US530530731131,530731131,1372
1500000US530530731132,530731132,2659
1500000US530530731133,530731133,2844
1500000US530530731141,530731141,2293
1500000US530530731142,530731142,1858
1500000US530530731143,530731143,1374
1500000US530530731151,530731151,2080
1500000US530530731152,530731152,1453
1500000US530530731153,530731153,597
1500000US530530731161,530731161,2055
1500000US530530731162,530731162,1573
1500000US530530731171,530731171,2059
1500000US530530731172,530731172,1767
1500000US530530731181,530731181,2025
1500000US530530731182,530731182,2244
1500000US530530731191,530731191,1116
1500000US530530731192,530731192,1849
1500000US530530731201,530731201,1960
1500000US530530731202,530731202,2178
1500000US530530731211,530731211,2433
1500000US530530731212,530731212,2376
1500000US530530731221,530731221,1703
1500000US530530731222,530731222,2743
1500000US530530731231,530731231,3256
1500000US530530731232,530731232,1850
1500000US530530731241,530731241,1130
1500000US530530731242,530731242,2625
1500000US530530731251,530731251,4127
1500000US530530731252,530731252,1762
1500000US530530731253,530731253,3652
1500000US530530731261,530731261,4158
1500000US530530732001,530732001,1231
1500000US530530732002,530732002,1014
1500000US530530732003,530732003,1241
1500000US530530732004,530732004,2369
1500000US530530733011,530733011,3596
1500000US530530733012,530733012,781
1500000US530530733013,530733013,198
1500000US530530733014,530733014,1309
1500000US530530733021,530733021,1361
1500000US530530733022,530733022,1283
1500000US530530733023,530733023,1146
1500000US530530734041,530734041,1221
1500000US530530734042,530734042,911
1500000US530530734043,530734043,724
1500000US530530734044,530734044,946
1500000US530530734045,530734045,1901
1500000US530530734051,530734051,1961
1500000US530530734052,530734052,1560
1500000US530530734061,530734061,1878
1500000US530530734062,530734062,1326
1500000US530530734063,530734063,2271
1500000US530530734071,530734071,1295
1500000US530530734072,530734072,1036
1500000US530530734073,530734073,1524
1500000US530530734081,530734081,2173
1500000US530530734082,530734082,975
1500000US530530734083,530734083,971
1500000US530530735001,530735001,1382
1500000US530530735002,530735002,1419
1500000US530530735003,530735003,945
1500000US530530735004,530735004,999
1500000US530530735005,530735005,1095
1500000US530530735006,530735006,1449
1500000US530539400011,539400011,1425
1500000US530539400012,539400012,1257
1500000US530539400021,539400021,1478
1500000US530539400022,539400022,1097
1500000US530539400023,539400023,1213
1500000US530539400031,539400031,3333
1500000US530539400032,539400032,1624
1500000US530539400033,539400033,2287
1500000US530539400041,539400041,1416
1500000US530539400042,539400042,492
1500000US530539400043,539400043,894
1500000US530539400044,539400044,938
1500000US530539400045,539400045,1335
1500000US530539400046,539400046,1542
1500000US530539400051,539400051,1655
1500000US530539400052,539400052,2216
1500000US530539400053,539400053,2189
1500000US530539400061,539400061,1614
1500000US530539400062,539400062,1287
1500000US530539400071,539400071,815
1500000US530539400072,539400072,1207
1500000US530539400073,539400073,1236
1500000US530539400081,539400081,2690
1500000US530539400082,539400082,2025
1500000US530539400083,539400083,1335
1500000US530539400091,539400091,1876
1500000US530539400092,539400092,1002
1500000US530539400101,539400101,2023
1500000US530539400102,539400102,1565
1500000US530539400103,539400103,591
1500000US530539400111,539400111,1657
1500000US530539400112,539400112,1728
1500000US530539400113,539400113,972
