Estimate!!Total,Margin of Error!!Total,id,Geographic Area Name
1020,231,1500000US530530602001,"Block Group 1, Census Tract 602, Pierce County, Washington"
1258,215,1500000US530530603001,"Block Group 1, Census Tract 603, Pierce County, Washington"
1236,256,1500000US530530603002,"Block Group 2, Census Tract 603, Pierce County, Washington"
1658,265,1500000US530530603003,"Block Group 3, Census Tract 603, Pierce County, Washington"
692,163,1500000US530530604001,"Block Group 1, Census Tract 604, Pierce County, Washington"
702,155,1500000US530530604002,"Block Group 2, Census Tract 604, Pierce County, Washington"
760,166,1500000US530530604003,"Block Group 3, Census Tract 604, Pierce County, Washington"
999,256,1500000US530530604004,"Block Group 4, Census Tract 604, Pierce County, Washington"
754,145,1500000US530530604005,"Block Group 5, Census Tract 604, Pierce County, Washington"
817,184,1500000US530530605001,"Block Group 1, Census Tract 605, Pierce County, Washington"
979,266,1500000US530530605002,"Block Group 2, Census Tract 605, Pierce County, Washington"
859,273,1500000US530530605003,"Block Group 3, Census Tract 605, Pierce County, Washington"
574,194,1500000US530530605004,"Block Group 4, Census Tract 605, Pierce County, Washington"
890,229,1500000US530530605005,"Block Group 5, Census Tract 605, Pierce County, Washington"
1246,338,1500000US530530606001,"Block Group 1, Census Tract 606, Pierce County, Washington"
1217,299,1500000US530530606002,"Block Group 2, Census Tract 606, Pierce County, Washington"
819,242,1500000US530530606003,"Block Group 3, Census Tract 606, Pierce County, Washington"
863,295,1500000US530530606004,"Block Group 4, Census Tract 606, Pierce County, Washington"
557,167,1500000US530530606005,"Block Group 5, Census Tract 606, Pierce County, Washington"
642,303,1500000US530530606006,"Block Group 6, Census Tract 606, Pierce County, Washington"
1084,324,1500000US530530607001,"Block Group 1, Census Tract 607, Pierce County, Washington"
952,246,1500000US530530607002,"Block Group 2, Census Tract 607, Pierce County, Washington"
1213,415,1500000US530530607003,"Block Group 3, Census Tract 607, Pierce County, Washington"
1048,337,1500000US530530607004,"Block Group 4, Census Tract 607, Pierce County, Washington"
1415,311,1500000US530530607005,"Block Group 5, Census Tract 607, Pierce County, Washington"
772,258,1500000US530530607006,"Block Group 6, Census Tract 607, Pierce County, Washington"
787,231,1500000US530530608001,"Block Group 1, Census Tract 608, Pierce County, Washington"
618,170,1500000US530530608002,"Block Group 2, Census Tract 608, Pierce County, Washington"
787,289,1500000US530530608003,"Block Group 3, Census Tract 608, Pierce County, Washington"
523,216,1500000US530530608004,"Block Group 4, Census Tract 608, Pierce County, Washington"
823,245,1500000US530530608005,"Block Group 5, Census Tract 608, Pierce County, Washington"
991,324,1500000US530530608006,"Block Group 6, Census Tract 608, Pierce County, Washington"
578,167,1500000US530530608007,"Block Group 7, Census Tract 608, Pierce County, Washington"
1053,523,1500000US530530609031,"Block Group 1, Census Tract 609.03, Pierce County, Washington"
1083,211,1500000US530530609032,"Block Group 2, Census Tract 609.03, Pierce County, Washington"
1328,225,1500000US530530609033,"Block Group 3, Census Tract 609.03, Pierce County, Washington"
819,491,1500000US530530609041,"Block Group 1, Census Tract 609.04, Pierce County, Washington"
1808,443,1500000US530530609042,"Block Group 2, Census Tract 609.04, Pierce County, Washington"
1061,520,1500000US530530609043,"Block Group 3, Census Tract 609.04, Pierce County, Washington"
1433,300,1500000US530530609044,"Block Group 4, Census Tract 609.04, Pierce County, Washington"
2103,390,1500000US530530609051,"Block Group 1, Census Tract 609.05, Pierce County, Washington"
965,383,1500000US530530609052,"Block Group 2, Census Tract 609.05, Pierce County, Washington"
983,352,1500000US530530609053,"Block Group 3, Census Tract 609.05, Pierce County, Washington"
1582,364,1500000US530530609054,"Block Group 4, Census Tract 609.05, Pierce County, Washington"
1165,269,1500000US530530609055,"Block Group 5, Census Tract 609.05, Pierce County, Washington"
1627,154,1500000US530530609061,"Block Group 1, Census Tract 609.06, Pierce County, Washington"
686,115,1500000US530530609062,"Block Group 2, Census Tract 609.06, Pierce County, Washington"
1025,204,1500000US530530610011,"Block Group 1, Census Tract 610.01, Pierce County, Washington"
928,208,1500000US530530610012,"Block Group 2, Census Tract 610.01, Pierce County, Washington"
1843,267,1500000US530530610013,"Block Group 3, Census Tract 610.01, Pierce County, Washington"
1853,543,1500000US530530610021,"Block Group 1, Census Tract 610.02, Pierce County, Washington"
775,234,1500000US530530610022,"Block Group 2, Census Tract 610.02, Pierce County, Washington"
1101,249,1500000US530530610023,"Block Group 3, Census Tract 610.02, Pierce County, Washington"
544,260,1500000US530530610024,"Block Group 4, Census Tract 610.02, Pierce County, Washington"
1345,374,1500000US530530611001,"Block Group 1, Census Tract 611, Pierce County, Washington"
522,252,1500000US530530611002,"Block Group 2, Census Tract 611, Pierce County, Washington"
586,218,1500000US530530611003,"Block Group 3, Census Tract 611, Pierce County, Washington"
724,248,1500000US530530611004,"Block Group 4, Census Tract 611, Pierce County, Washington"
996,270,1500000US530530611005,"Block Group 5, Census Tract 611, Pierce County, Washington"
1402,447,1500000US530530611006,"Block Group 6, Census Tract 611, Pierce County, Washington"
1190,383,1500000US530530611007,"Block Group 7, Census Tract 611, Pierce County, Washington"
1409,367,1500000US530530612001,"Block Group 1, Census Tract 612, Pierce County, Washington"
686,215,1500000US530530612002,"Block Group 2, Census Tract 612, Pierce County, Washington"
936,369,1500000US530530612003,"Block Group 3, Census Tract 612, Pierce County, Washington"
853,305,1500000US530530612004,"Block Group 4, Census Tract 612, Pierce County, Washington"
631,186,1500000US530530612005,"Block Group 5, Census Tract 612, Pierce County, Washington"
962,254,1500000US530530612006,"Block Group 6, Census Tract 612, Pierce County, Washington"
760,200,1500000US530530613001,"Block Group 1, Census Tract 613, Pierce County, Washington"
1059,286,1500000US530530613002,"Block Group 2, Census Tract 613, Pierce County, Washington"
918,220,1500000US530530613003,"Block Group 3, Census Tract 613, Pierce County, Washington"
780,285,1500000US530530613004,"Block Group 4, Census Tract 613, Pierce County, Washington"
771,222,1500000US530530613005,"Block Group 5, Census Tract 613, Pierce County, Washington"
897,250,1500000US530530613006,"Block Group 6, Census Tract 613, Pierce County, Washington"
973,206,1500000US530530614001,"Block Group 1, Census Tract 614, Pierce County, Washington"
1569,352,1500000US530530614002,"Block Group 2, Census Tract 614, Pierce County, Washington"
1057,184,1500000US530530614003,"Block Group 3, Census Tract 614, Pierce County, Washington"
1647,277,1500000US530530615001,"Block Group 1, Census Tract 615, Pierce County, Washington"
1412,326,1500000US530530615002,"Block Group 2, Census Tract 615, Pierce County, Washington"
894,249,1500000US530530615003,"Block Group 3, Census Tract 615, Pierce County, Washington"
1047,320,1500000US530530615004,"Block Group 4, Census Tract 615, Pierce County, Washington"
1925,173,1500000US530530616011,"Block Group 1, Census Tract 616.01, Pierce County, Washington"
846,102,1500000US530530616021,"Block Group 1, Census Tract 616.02, Pierce County, Washington"
1101,332,1500000US530530617001,"Block Group 1, Census Tract 617, Pierce County, Washington"
989,479,1500000US530530617002,"Block Group 2, Census Tract 617, Pierce County, Washington"
855,280,1500000US530530617003,"Block Group 3, Census Tract 617, Pierce County, Washington"
528,243,1500000US530530617004,"Block Group 4, Census Tract 617, Pierce County, Washington"
1096,274,1500000US530530617005,"Block Group 5, Census Tract 617, Pierce County, Washington"
1094,384,1500000US530530618001,"Block Group 1, Census Tract 618, Pierce County, Washington"
1147,451,1500000US530530618002,"Block Group 2, Census Tract 618, Pierce County, Washington"
566,221,1500000US530530618003,"Block Group 3, Census Tract 618, Pierce County, Washington"
862,301,1500000US530530619001,"Block Group 1, Census Tract 619, Pierce County, Washington"
923,242,1500000US530530619002,"Block Group 2, Census Tract 619, Pierce County, Washington"
920,252,1500000US530530620001,"Block Group 1, Census Tract 620, Pierce County, Washington"
1155,321,1500000US530530620002,"Block Group 2, Census Tract 620, Pierce County, Washington"
1082,247,1500000US530530620003,"Block Group 3, Census Tract 620, Pierce County, Washington"
1383,278,1500000US530530620004,"Block Group 4, Census Tract 620, Pierce County, Washington"
1389,349,1500000US530530623001,"Block Group 1, Census Tract 623, Pierce County, Washington"
1438,348,1500000US530530623002,"Block Group 2, Census Tract 623, Pierce County, Washington"
1352,330,1500000US530530623003,"Block Group 3, Census Tract 623, Pierce County, Washington"
1085,312,1500000US530530623004,"Block Group 4, Census Tract 623, Pierce County, Washington"
1651,493,1500000US530530624001,"Block Group 1, Census Tract 624, Pierce County, Washington"
993,327,1500000US530530624002,"Block Group 2, Census Tract 624, Pierce County, Washington"
1095,384,1500000US530530624003,"Block Group 3, Census Tract 624, Pierce County, Washington"
975,359,1500000US530530624004,"Block Group 4, Census Tract 624, Pierce County, Washington"
808,245,1500000US530530624005,"Block Group 5, Census Tract 624, Pierce County, Washington"
1309,598,1500000US530530625001,"Block Group 1, Census Tract 625, Pierce County, Washington"
1663,641,1500000US530530625002,"Block Group 2, Census Tract 625, Pierce County, Washington"
504,323,1500000US530530625003,"Block Group 3, Census Tract 625, Pierce County, Washington"
1067,389,1500000US530530625004,"Block Group 4, Census Tract 625, Pierce County, Washington"
1649,603,1500000US530530625005,"Block Group 5, Census Tract 625, Pierce County, Washington"
695,280,1500000US530530625006,"Block Group 6, Census Tract 625, Pierce County, Washington"
1030,418,1500000US530530625007,"Block Group 7, Census Tract 625, Pierce County, Washington"
1099,284,1500000US530530626001,"Block Group 1, Census Tract 626, Pierce County, Washington"
2067,340,1500000US530530626002,"Block Group 2, Census Tract 626, Pierce County, Washington"
1222,386,1500000US530530628011,"Block Group 1, Census Tract 628.01, Pierce County, Washington"
2076,533,1500000US530530628012,"Block Group 2, Census Tract 628.01, Pierce County, Washington"
1865,440,1500000US530530628013,"Block Group 3, Census Tract 628.01, Pierce County, Washington"
1245,328,1500000US530530628014,"Block Group 4, Census Tract 628.01, Pierce County, Washington"
1828,329,1500000US530530628021,"Block Group 1, Census Tract 628.02, Pierce County, Washington"
1377,357,1500000US530530628022,"Block Group 2, Census Tract 628.02, Pierce County, Washington"
954,296,1500000US530530628023,"Block Group 3, Census Tract 628.02, Pierce County, Washington"
2681,533,1500000US530530629001,"Block Group 1, Census Tract 629, Pierce County, Washington"
1482,463,1500000US530530629002,"Block Group 2, Census Tract 629, Pierce County, Washington"
719,225,1500000US530530629003,"Block Group 3, Census Tract 629, Pierce County, Washington"
815,267,1500000US530530629004,"Block Group 4, Census Tract 629, Pierce County, Washington"
852,378,1500000US530530629005,"Block Group 5, Census Tract 629, Pierce County, Washington"
857,351,1500000US530530629006,"Block Group 6, Census Tract 629, Pierce County, Washington"
1280,301,1500000US530530630001,"Block Group 1, Census Tract 630, Pierce County, Washington"
1769,332,1500000US530530630002,"Block Group 2, Census Tract 630, Pierce County, Washington"
881,258,1500000US530530631001,"Block Group 1, Census Tract 631, Pierce County, Washington"
1267,350,1500000US530530631002,"Block Group 2, Census Tract 631, Pierce County, Washington"
830,259,1500000US530530631003,"Block Group 3, Census Tract 631, Pierce County, Washington"
1481,389,1500000US530530631004,"Block Group 4, Census Tract 631, Pierce County, Washington"
1171,257,1500000US530530632001,"Block Group 1, Census Tract 632, Pierce County, Washington"
2091,394,1500000US530530632002,"Block Group 2, Census Tract 632, Pierce County, Washington"
694,174,1500000US530530632003,"Block Group 3, Census Tract 632, Pierce County, Washington"
730,205,1500000US530530632004,"Block Group 4, Census Tract 632, Pierce County, Washington"
825,237,1500000US530530632005,"Block Group 5, Census Tract 632, Pierce County, Washington"
1667,485,1500000US530530633001,"Block Group 1, Census Tract 633, Pierce County, Washington"
3141,836,1500000US530530633002,"Block Group 2, Census Tract 633, Pierce County, Washington"
1379,415,1500000US530530633003,"Block Group 3, Census Tract 633, Pierce County, Washington"
1149,631,1500000US530530633004,"Block Group 4, Census Tract 633, Pierce County, Washington"
1177,382,1500000US530530633005,"Block Group 5, Census Tract 633, Pierce County, Washington"
910,346,1500000US530530634001,"Block Group 1, Census Tract 634, Pierce County, Washington"
2317,661,1500000US530530634002,"Block Group 2, Census Tract 634, Pierce County, Washington"
771,323,1500000US530530634003,"Block Group 3, Census Tract 634, Pierce County, Washington"
646,250,1500000US530530634004,"Block Group 4, Census Tract 634, Pierce County, Washington"
1474,459,1500000US530530634005,"Block Group 5, Census Tract 634, Pierce County, Washington"
1235,423,1500000US530530634006,"Block Group 6, Census Tract 634, Pierce County, Washington"
801,319,1500000US530530635011,"Block Group 1, Census Tract 635.01, Pierce County, Washington"
1103,299,1500000US530530635012,"Block Group 2, Census Tract 635.01, Pierce County, Washington"
1059,266,1500000US530530635013,"Block Group 3, Census Tract 635.01, Pierce County, Washington"
1400,298,1500000US530530635014,"Block Group 4, Census Tract 635.01, Pierce County, Washington"
1149,297,1500000US530530635021,"Block Group 1, Census Tract 635.02, Pierce County, Washington"
2239,344,1500000US530530635022,"Block Group 2, Census Tract 635.02, Pierce County, Washington"
1483,394,1500000US530530635023,"Block Group 3, Census Tract 635.02, Pierce County, Washington"
688,169,1500000US530530701001,"Block Group 1, Census Tract 701, Pierce County, Washington"
0,12,1500000US530530701002,"Block Group 2, Census Tract 701, Pierce County, Washington"
1735,392,1500000US530530701003,"Block Group 3, Census Tract 701, Pierce County, Washington"
1385,327,1500000US530530701004,"Block Group 4, Census Tract 701, Pierce County, Washington"
2286,434,1500000US530530702031,"Block Group 1, Census Tract 702.03, Pierce County, Washington"
2699,437,1500000US530530702032,"Block Group 2, Census Tract 702.03, Pierce County, Washington"
693,277,1500000US530530702033,"Block Group 3, Census Tract 702.03, Pierce County, Washington"
1614,435,1500000US530530702041,"Block Group 1, Census Tract 702.04, Pierce County, Washington"
2240,417,1500000US530530702042,"Block Group 2, Census Tract 702.04, Pierce County, Washington"
2325,268,1500000US530530702051,"Block Group 1, Census Tract 702.05, Pierce County, Washington"
895,216,1500000US530530702052,"Block Group 2, Census Tract 702.05, Pierce County, Washington"
1699,277,1500000US530530702061,"Block Group 1, Census Tract 702.06, Pierce County, Washington"
1305,269,1500000US530530702062,"Block Group 2, Census Tract 702.06, Pierce County, Washington"
1038,228,1500000US530530702063,"Block Group 3, Census Tract 702.06, Pierce County, Washington"
1178,351,1500000US530530702071,"Block Group 1, Census Tract 702.07, Pierce County, Washington"
1409,326,1500000US530530702072,"Block Group 2, Census Tract 702.07, Pierce County, Washington"
1184,316,1500000US530530702073,"Block Group 3, Census Tract 702.07, Pierce County, Washington"
1402,323,1500000US530530702074,"Block Group 4, Census Tract 702.07, Pierce County, Washington"
1073,274,1500000US530530703071,"Block Group 1, Census Tract 703.07, Pierce County, Washington"
1895,387,1500000US530530703072,"Block Group 2, Census Tract 703.07, Pierce County, Washington"
2309,307,1500000US530530703073,"Block Group 3, Census Tract 703.07, Pierce County, Washington"
1830,287,1500000US530530703081,"Block Group 1, Census Tract 703.08, Pierce County, Washington"
1726,269,1500000US530530703082,"Block Group 2, Census Tract 703.08, Pierce County, Washington"
1031,295,1500000US530530703091,"Block Group 1, Census Tract 703.09, Pierce County, Washington"
2072,342,1500000US530530703092,"Block Group 2, Census Tract 703.09, Pierce County, Washington"
2170,413,1500000US530530703093,"Block Group 3, Census Tract 703.09, Pierce County, Washington"
1914,306,1500000US530530703101,"Block Group 1, Census Tract 703.10, Pierce County, Washington"
739,223,1500000US530530703102,"Block Group 2, Census Tract 703.10, Pierce County, Washington"
1941,267,1500000US530530703103,"Block Group 3, Census Tract 703.10, Pierce County, Washington"
728,288,1500000US530530703104,"Block Group 4, Census Tract 703.10, Pierce County, Washington"
1477,293,1500000US530530703111,"Block Group 1, Census Tract 703.11, Pierce County, Washington"
1531,372,1500000US530530703112,"Block Group 2, Census Tract 703.11, Pierce County, Washington"
2094,567,1500000US530530703113,"Block Group 3, Census Tract 703.11, Pierce County, Washington"
1167,292,1500000US530530703121,"Block Group 1, Census Tract 703.12, Pierce County, Washington"
3028,410,1500000US530530703122,"Block Group 2, Census Tract 703.12, Pierce County, Washington"
1498,380,1500000US530530703123,"Block Group 3, Census Tract 703.12, Pierce County, Washington"
1426,248,1500000US530530703131,"Block Group 1, Census Tract 703.13, Pierce County, Washington"
873,296,1500000US530530703132,"Block Group 2, Census Tract 703.13, Pierce County, Washington"
1529,349,1500000US530530703133,"Block Group 3, Census Tract 703.13, Pierce County, Washington"
761,296,1500000US530530703134,"Block Group 4, Census Tract 703.13, Pierce County, Washington"
1051,269,1500000US530530703135,"Block Group 5, Census Tract 703.13, Pierce County, Washington"
1890,358,1500000US530530703141,"Block Group 1, Census Tract 703.14, Pierce County, Washington"
1380,311,1500000US530530703142,"Block Group 2, Census Tract 703.14, Pierce County, Washington"
1615,331,1500000US530530703151,"Block Group 1, Census Tract 703.15, Pierce County, Washington"
1440,294,1500000US530530703152,"Block Group 2, Census Tract 703.15, Pierce County, Washington"
1835,313,1500000US530530703153,"Block Group 3, Census Tract 703.15, Pierce County, Washington"
707,287,1500000US530530703154,"Block Group 4, Census Tract 703.15, Pierce County, Washington"
1661,506,1500000US530530703161,"Block Group 1, Census Tract 703.16, Pierce County, Washington"
4095,468,1500000US530530703162,"Block Group 2, Census Tract 703.16, Pierce County, Washington"
1562,202,1500000US530530704011,"Block Group 1, Census Tract 704.01, Pierce County, Washington"
732,127,1500000US530530704012,"Block Group 2, Census Tract 704.01, Pierce County, Washington"
976,216,1500000US530530704031,"Block Group 1, Census Tract 704.03, Pierce County, Washington"
625,248,1500000US530530704032,"Block Group 2, Census Tract 704.03, Pierce County, Washington"
2201,387,1500000US530530704033,"Block Group 3, Census Tract 704.03, Pierce County, Washington"
2867,470,1500000US530530704041,"Block Group 1, Census Tract 704.04, Pierce County, Washington"
2003,392,1500000US530530704042,"Block Group 2, Census Tract 704.04, Pierce County, Washington"
925,273,1500000US530530707031,"Block Group 1, Census Tract 707.03, Pierce County, Washington"
1500,303,1500000US530530707032,"Block Group 2, Census Tract 707.03, Pierce County, Washington"
2000,375,1500000US530530707033,"Block Group 3, Census Tract 707.03, Pierce County, Washington"
831,245,1500000US530530707034,"Block Group 4, Census Tract 707.03, Pierce County, Washington"
942,282,1500000US530530707035,"Block Group 5, Census Tract 707.03, Pierce County, Washington"
1359,318,1500000US530530711001,"Block Group 1, Census Tract 711, Pierce County, Washington"
969,185,1500000US530530711002,"Block Group 2, Census Tract 711, Pierce County, Washington"
1859,290,1500000US530530712051,"Block Group 1, Census Tract 712.05, Pierce County, Washington"
3007,316,1500000US530530712052,"Block Group 2, Census Tract 712.05, Pierce County, Washington"
885,201,1500000US530530712061,"Block Group 1, Census Tract 712.06, Pierce County, Washington"
883,213,1500000US530530712062,"Block Group 2, Census Tract 712.06, Pierce County, Washington"
2120,445,1500000US530530712063,"Block Group 3, Census Tract 712.06, Pierce County, Washington"
2664,471,1500000US530530712064,"Block Group 4, Census Tract 712.06, Pierce County, Washington"
1237,366,1500000US530530712071,"Block Group 1, Census Tract 712.07, Pierce County, Washington"
2808,517,1500000US530530712072,"Block Group 2, Census Tract 712.07, Pierce County, Washington"
2309,481,1500000US530530712073,"Block Group 3, Census Tract 712.07, Pierce County, Washington"
1668,385,1500000US530530712081,"Block Group 1, Census Tract 712.08, Pierce County, Washington"
2295,402,1500000US530530712082,"Block Group 2, Census Tract 712.08, Pierce County, Washington"
3729,496,1500000US530530712083,"Block Group 3, Census Tract 712.08, Pierce County, Washington"
2280,258,1500000US530530712091,"Block Group 1, Census Tract 712.09, Pierce County, Washington"
889,219,1500000US530530712092,"Block Group 2, Census Tract 712.09, Pierce County, Washington"
951,268,1500000US530530712093,"Block Group 3, Census Tract 712.09, Pierce County, Washington"
751,298,1500000US530530712101,"Block Group 1, Census Tract 712.10, Pierce County, Washington"
1120,171,1500000US530530712102,"Block Group 2, Census Tract 712.10, Pierce County, Washington"
2650,303,1500000US530530712103,"Block Group 3, Census Tract 712.10, Pierce County, Washington"
2104,478,1500000US530530713041,"Block Group 1, Census Tract 713.04, Pierce County, Washington"
3238,663,1500000US530530713042,"Block Group 2, Census Tract 713.04, Pierce County, Washington"
956,323,1500000US530530713043,"Block Group 3, Census Tract 713.04, Pierce County, Washington"
2013,312,1500000US530530713051,"Block Group 1, Census Tract 713.05, Pierce County, Washington"
1716,352,1500000US530530713052,"Block Group 2, Census Tract 713.05, Pierce County, Washington"
1207,445,1500000US530530713061,"Block Group 1, Census Tract 713.06, Pierce County, Washington"
1741,484,1500000US530530713062,"Block Group 2, Census Tract 713.06, Pierce County, Washington"
2419,620,1500000US530530713063,"Block Group 3, Census Tract 713.06, Pierce County, Washington"
1013,347,1500000US530530713064,"Block Group 4, Census Tract 713.06, Pierce County, Washington"
1462,268,1500000US530530713071,"Block Group 1, Census Tract 713.07, Pierce County, Washington"
996,247,1500000US530530713072,"Block Group 2, Census Tract 713.07, Pierce County, Washington"
2251,285,1500000US530530713073,"Block Group 3, Census Tract 713.07, Pierce County, Washington"
1579,335,1500000US530530713091,"Block Group 1, Census Tract 713.09, Pierce County, Washington"
1534,381,1500000US530530713092,"Block Group 2, Census Tract 713.09, Pierce County, Washington"
1362,471,1500000US530530713093,"Block Group 3, Census Tract 713.09, Pierce County, Washington"
1835,375,1500000US530530713101,"Block Group 1, Census Tract 713.10, Pierce County, Washington"
3105,336,1500000US530530713102,"Block Group 2, Census Tract 713.10, Pierce County, Washington"
1713,280,1500000US530530714031,"Block Group 1, Census Tract 714.03, Pierce County, Washington"
723,221,1500000US530530714032,"Block Group 2, Census Tract 714.03, Pierce County, Washington"
1660,376,1500000US530530714033,"Block Group 3, Census Tract 714.03, Pierce County, Washington"
3299,557,1500000US530530714061,"Block Group 1, Census Tract 714.06, Pierce County, Washington"
1233,450,1500000US530530714062,"Block Group 2, Census Tract 714.06, Pierce County, Washington"
547,244,1500000US530530714063,"Block Group 3, Census Tract 714.06, Pierce County, Washington"
1913,440,1500000US530530714064,"Block Group 4, Census Tract 714.06, Pierce County, Washington"
1403,414,1500000US530530714071,"Block Group 1, Census Tract 714.07, Pierce County, Washington"
1834,485,1500000US530530714072,"Block Group 2, Census Tract 714.07, Pierce County, Washington"
1857,642,1500000US530530714073,"Block Group 3, Census Tract 714.07, Pierce County, Washington"
1917,647,1500000US530530714074,"Block Group 4, Census Tract 714.07, Pierce County, Washington"
1828,422,1500000US530530714081,"Block Group 1, Census Tract 714.08, Pierce County, Washington"
1265,407,1500000US530530714082,"Block Group 2, Census Tract 714.08, Pierce County, Washington"
817,232,1500000US530530714083,"Block Group 3, Census Tract 714.08, Pierce County, Washington"
1282,397,1500000US530530714091,"Block Group 1, Census Tract 714.09, Pierce County, Washington"
1024,386,1500000US530530714092,"Block Group 2, Census Tract 714.09, Pierce County, Washington"
1312,328,1500000US530530714093,"Block Group 3, Census Tract 714.09, Pierce County, Washington"
842,199,1500000US530530714094,"Block Group 4, Census Tract 714.09, Pierce County, Washington"
1487,712,1500000US530530714101,"Block Group 1, Census Tract 714.10, Pierce County, Washington"
1578,567,1500000US530530714102,"Block Group 2, Census Tract 714.10, Pierce County, Washington"
2388,669,1500000US530530714103,"Block Group 3, Census Tract 714.10, Pierce County, Washington"
1648,369,1500000US530530714104,"Block Group 4, Census Tract 714.10, Pierce County, Washington"
2344,530,1500000US530530714111,"Block Group 1, Census Tract 714.11, Pierce County, Washington"
1190,421,1500000US530530714112,"Block Group 2, Census Tract 714.11, Pierce County, Washington"
1735,370,1500000US530530714113,"Block Group 3, Census Tract 714.11, Pierce County, Washington"
1282,259,1500000US530530715031,"Block Group 1, Census Tract 715.03, Pierce County, Washington"
1963,632,1500000US530530715032,"Block Group 2, Census Tract 715.03, Pierce County, Washington"
