Estimate!!Total,Margin of Error!!Total,id,Geographic Area Name
600,239,1500000US530530715033,"Block Group 3, Census Tract 715.03, Pierce County, Washington"
1426,408,1500000US530530715034,"Block Group 4, Census Tract 715.03, Pierce County, Washington"
1647,396,1500000US530530715041,"Block Group 1, Census Tract 715.04, Pierce County, Washington"
2129,347,1500000US530530715042,"Block Group 2, Census Tract 715.04, Pierce County, Washington"
907,263,1500000US530530715043,"Block Group 3, Census Tract 715.04, Pierce County, Washington"
1155,339,1500000US530530715044,"Block Group 4, Census Tract 715.04, Pierce County, Washington"
1630,308,1500000US530530715051,"Block Group 1, Census Tract 715.05, Pierce County, Washington"
1012,300,1500000US530530715052,"Block Group 2, Census Tract 715.05, Pierce County, Washington"
992,276,1500000US530530715053,"Block Group 3, Census Tract 715.05, Pierce County, Washington"
1426,324,1500000US530530715054,"Block Group 4, Census Tract 715.05, Pierce County, Washington"
1025,240,1500000US530530715061,"Block Group 1, Census Tract 715.06, Pierce County, Washington"
2076,375,1500000US530530715062,"Block Group 2, Census Tract 715.06, Pierce County, Washington"
1993,309,1500000US530530715063,"Block Group 3, Census Tract 715.06, Pierce County, Washington"
3557,458,1500000US530530716011,"Block Group 1, Census Tract 716.01, Pierce County, Washington"
1295,247,1500000US530530716012,"Block Group 2, Census Tract 716.01, Pierce County, Washington"
2150,458,1500000US530530716021,"Block Group 1, Census Tract 716.02, Pierce County, Washington"
1326,372,1500000US530530716022,"Block Group 2, Census Tract 716.02, Pierce County, Washington"
2001,477,1500000US530530716023,"Block Group 3, Census Tract 716.02, Pierce County, Washington"
1173,390,1500000US530530716024,"Block Group 4, Census Tract 716.02, Pierce County, Washington"
2226,311,1500000US530530717031,"Block Group 1, Census Tract 717.03, Pierce County, Washington"
1277,362,1500000US530530717032,"Block Group 2, Census Tract 717.03, Pierce County, Washington"
2663,552,1500000US530530717041,"Block Group 1, Census Tract 717.04, Pierce County, Washington"
1412,286,1500000US530530717042,"Block Group 2, Census Tract 717.04, Pierce County, Washington"
898,258,1500000US530530717043,"Block Group 3, Census Tract 717.04, Pierce County, Washington"
1372,246,1500000US530530717051,"Block Group 1, Census Tract 717.05, Pierce County, Washington"
1381,341,1500000US530530717052,"Block Group 2, Census Tract 717.05, Pierce County, Washington"
1068,304,1500000US530530717053,"Block Group 3, Census Tract 717.05, Pierce County, Washington"
1872,208,1500000US530530717061,"Block Group 1, Census Tract 717.06, Pierce County, Washington"
921,223,1500000US530530717071,"Block Group 1, Census Tract 717.07, Pierce County, Washington"
696,207,1500000US530530717072,"Block Group 2, Census Tract 717.07, Pierce County, Washington"
1235,277,1500000US530530717073,"Block Group 3, Census Tract 717.07, Pierce County, Washington"
1728,470,1500000US530530718031,"Block Group 1, Census Tract 718.03, Pierce County, Washington"
2219,421,1500000US530530718032,"Block Group 2, Census Tract 718.03, Pierce County, Washington"
783,309,1500000US530530718033,"Block Group 3, Census Tract 718.03, Pierce County, Washington"
792,405,1500000US530530718034,"Block Group 4, Census Tract 718.03, Pierce County, Washington"
862,339,1500000US530530718051,"Block Group 1, Census Tract 718.05, Pierce County, Washington"
1706,361,1500000US530530718052,"Block Group 2, Census Tract 718.05, Pierce County, Washington"
1866,415,1500000US530530718053,"Block Group 3, Census Tract 718.05, Pierce County, Washington"
2741,405,1500000US530530718061,"Block Group 1, Census Tract 718.06, Pierce County, Washington"
1434,276,1500000US530530718062,"Block Group 2, Census Tract 718.06, Pierce County, Washington"
1839,348,1500000US530530718071,"Block Group 1, Census Tract 718.07, Pierce County, Washington"
1729,295,1500000US530530718072,"Block Group 2, Census Tract 718.07, Pierce County, Washington"
1736,444,1500000US530530718081,"Block Group 1, Census Tract 718.08, Pierce County, Washington"
1820,297,1500000US530530718082,"Block Group 2, Census Tract 718.08, Pierce County, Washington"
632,327,1500000US530530718083,"Block Group 3, Census Tract 718.08, Pierce County, Washington"
1810,423,1500000US530530719011,"Block Group 1, Census Tract 719.01, Pierce County, Washington"
684,237,1500000US530530719012,"Block Group 2, Census Tract 719.01, Pierce County, Washington"
856,210,1500000US530530719013,"Block Group 3, Census Tract 719.01, Pierce County, Washington"
1574,343,1500000US530530719014,"Block Group 4, Census Tract 719.01, Pierce County, Washington"
1598,446,1500000US530530719021,"Block Group 1, Census Tract 719.02, Pierce County, Washington"
825,323,1500000US530530719022,"Block Group 2, Census Tract 719.02, Pierce County, Washington"
1166,345,1500000US530530719023,"Block Group 3, Census Tract 719.02, Pierce County, Washington"
550,252,1500000US530530719024,"Block Group 4, Census Tract 719.02, Pierce County, Washington"
856,203,1500000US530530719025,"Block Group 5, Census Tract 719.02, Pierce County, Washington"
1497,674,1500000US530530720001,"Block Group 1, Census Tract 720, Pierce County, Washington"
1232,398,1500000US530530720002,"Block Group 2, Census Tract 720, Pierce County, Washington"
838,258,1500000US530530720003,"Block Group 3, Census Tract 720, Pierce County, Washington"
778,340,1500000US530530720004,"Block Group 4, Census Tract 720, Pierce County, Washington"
1217,185,1500000US530530721051,"Block Group 1, Census Tract 721.05, Pierce County, Washington"
1685,247,1500000US530530721052,"Block Group 2, Census Tract 721.05, Pierce County, Washington"
710,355,1500000US530530721053,"Block Group 3, Census Tract 721.05, Pierce County, Washington"
1665,298,1500000US530530721054,"Block Group 4, Census Tract 721.05, Pierce County, Washington"
890,260,1500000US530530721061,"Block Group 1, Census Tract 721.06, Pierce County, Washington"
1469,378,1500000US530530721062,"Block Group 2, Census Tract 721.06, Pierce County, Washington"
2250,497,1500000US530530721063,"Block Group 3, Census Tract 721.06, Pierce County, Washington"
1547,384,1500000US530530721064,"Block Group 4, Census Tract 721.06, Pierce County, Washington"
1146,214,1500000US530530721071,"Block Group 1, Census Tract 721.07, Pierce County, Washington"
1385,296,1500000US530530721072,"Block Group 2, Census Tract 721.07, Pierce County, Washington"
932,186,1500000US530530721073,"Block Group 3, Census Tract 721.07, Pierce County, Washington"
717,224,1500000US530530721074,"Block Group 4, Census Tract 721.07, Pierce County, Washington"
896,415,1500000US530530721081,"Block Group 1, Census Tract 721.08, Pierce County, Washington"
811,290,1500000US530530721082,"Block Group 2, Census Tract 721.08, Pierce County, Washington"
676,303,1500000US530530721083,"Block Group 3, Census Tract 721.08, Pierce County, Washington"
2209,362,1500000US530530721084,"Block Group 4, Census Tract 721.08, Pierce County, Washington"
1103,459,1500000US530530721085,"Block Group 5, Census Tract 721.08, Pierce County, Washington"
1551,265,1500000US530530721091,"Block Group 1, Census Tract 721.09, Pierce County, Washington"
1864,288,1500000US530530721092,"Block Group 2, Census Tract 721.09, Pierce County, Washington"
1679,371,1500000US530530721111,"Block Group 1, Census Tract 721.11, Pierce County, Washington"
965,173,1500000US530530721112,"Block Group 2, Census Tract 721.11, Pierce County, Washington"
1968,310,1500000US530530721121,"Block Group 1, Census Tract 721.12, Pierce County, Washington"
1225,222,1500000US530530721122,"Block Group 2, Census Tract 721.12, Pierce County, Washington"
1168,267,1500000US530530721123,"Block Group 3, Census Tract 721.12, Pierce County, Washington"
1299,288,1500000US530530723051,"Block Group 1, Census Tract 723.05, Pierce County, Washington"
804,323,1500000US530530723052,"Block Group 2, Census Tract 723.05, Pierce County, Washington"
1090,285,1500000US530530723053,"Block Group 3, Census Tract 723.05, Pierce County, Washington"
860,325,1500000US530530723054,"Block Group 4, Census Tract 723.05, Pierce County, Washington"
1402,313,1500000US530530723055,"Block Group 5, Census Tract 723.05, Pierce County, Washington"
539,189,1500000US530530723056,"Block Group 6, Census Tract 723.05, Pierce County, Washington"
1849,289,1500000US530530723071,"Block Group 1, Census Tract 723.07, Pierce County, Washington"
683,197,1500000US530530723072,"Block Group 2, Census Tract 723.07, Pierce County, Washington"
758,188,1500000US530530723073,"Block Group 3, Census Tract 723.07, Pierce County, Washington"
1189,336,1500000US530530723074,"Block Group 4, Census Tract 723.07, Pierce County, Washington"
1472,404,1500000US530530723081,"Block Group 1, Census Tract 723.08, Pierce County, Washington"
1719,291,1500000US530530723082,"Block Group 2, Census Tract 723.08, Pierce County, Washington"
1266,378,1500000US530530723083,"Block Group 3, Census Tract 723.08, Pierce County, Washington"
1411,456,1500000US530530723084,"Block Group 4, Census Tract 723.08, Pierce County, Washington"
1670,374,1500000US530530723085,"Block Group 5, Census Tract 723.08, Pierce County, Washington"
1606,391,1500000US530530723091,"Block Group 1, Census Tract 723.09, Pierce County, Washington"
2235,561,1500000US530530723092,"Block Group 2, Census Tract 723.09, Pierce County, Washington"
1211,362,1500000US530530723093,"Block Group 3, Census Tract 723.09, Pierce County, Washington"
820,263,1500000US530530723094,"Block Group 4, Census Tract 723.09, Pierce County, Washington"
1230,308,1500000US530530723101,"Block Group 1, Census Tract 723.10, Pierce County, Washington"
568,182,1500000US530530723102,"Block Group 2, Census Tract 723.10, Pierce County, Washington"
1902,219,1500000US530530723103,"Block Group 3, Census Tract 723.10, Pierce County, Washington"
1383,303,1500000US530530723111,"Block Group 1, Census Tract 723.11, Pierce County, Washington"
1135,260,1500000US530530723112,"Block Group 2, Census Tract 723.11, Pierce County, Washington"
1894,308,1500000US530530723113,"Block Group 3, Census Tract 723.11, Pierce County, Washington"
2368,355,1500000US530530723121,"Block Group 1, Census Tract 723.12, Pierce County, Washington"
1359,443,1500000US530530723122,"Block Group 2, Census Tract 723.12, Pierce County, Washington"
1518,585,1500000US530530723123,"Block Group 3, Census Tract 723.12, Pierce County, Washington"
1965,247,1500000US530530723131,"Block Group 1, Census Tract 723.13, Pierce County, Washington"
1624,280,1500000US530530723132,"Block Group 2, Census Tract 723.13, Pierce County, Washington"
1778,265,1500000US530530724051,"Block Group 1, Census Tract 724.05, Pierce County, Washington"
2335,323,1500000US530530724052,"Block Group 2, Census Tract 724.05, Pierce County, Washington"
2177,334,1500000US530530724061,"Block Group 1, Census Tract 724.06, Pierce County, Washington"
1828,410,1500000US530530724062,"Block Group 2, Census Tract 724.06, Pierce County, Washington"
2065,365,1500000US530530724063,"Block Group 3, Census Tract 724.06, Pierce County, Washington"
1881,430,1500000US530530724071,"Block Group 1, Census Tract 724.07, Pierce County, Washington"
1627,414,1500000US530530724072,"Block Group 2, Census Tract 724.07, Pierce County, Washington"
1287,379,1500000US530530724073,"Block Group 3, Census Tract 724.07, Pierce County, Washington"
1400,381,1500000US530530724081,"Block Group 1, Census Tract 724.08, Pierce County, Washington"
2133,328,1500000US530530724082,"Block Group 2, Census Tract 724.08, Pierce County, Washington"
1045,259,1500000US530530724083,"Block Group 3, Census Tract 724.08, Pierce County, Washington"
1431,273,1500000US530530724084,"Block Group 4, Census Tract 724.08, Pierce County, Washington"
1433,227,1500000US530530724091,"Block Group 1, Census Tract 724.09, Pierce County, Washington"
1139,147,1500000US530530724092,"Block Group 2, Census Tract 724.09, Pierce County, Washington"
2043,286,1500000US530530724101,"Block Group 1, Census Tract 724.10, Pierce County, Washington"
1688,317,1500000US530530724102,"Block Group 2, Census Tract 724.10, Pierce County, Washington"
1617,237,1500000US530530725031,"Block Group 1, Census Tract 725.03, Pierce County, Washington"
2834,380,1500000US530530725032,"Block Group 2, Census Tract 725.03, Pierce County, Washington"
2138,356,1500000US530530725041,"Block Group 1, Census Tract 725.04, Pierce County, Washington"
3104,406,1500000US530530725042,"Block Group 2, Census Tract 725.04, Pierce County, Washington"
1240,246,1500000US530530725051,"Block Group 1, Census Tract 725.05, Pierce County, Washington"
1494,381,1500000US530530725052,"Block Group 2, Census Tract 725.05, Pierce County, Washington"
3054,549,1500000US530530725053,"Block Group 3, Census Tract 725.05, Pierce County, Washington"
1275,300,1500000US530530725054,"Block Group 4, Census Tract 725.05, Pierce County, Washington"
1008,174,1500000US530530725061,"Block Group 1, Census Tract 725.06, Pierce County, Washington"
2125,361,1500000US530530725062,"Block Group 2, Census Tract 725.06, Pierce County, Washington"
974,254,1500000US530530725071,"Block Group 1, Census Tract 725.07, Pierce County, Washington"
1701,273,1500000US530530725072,"Block Group 2, Census Tract 725.07, Pierce County, Washington"
2672,478,1500000US530530726011,"Block Group 1, Census Tract 726.01, Pierce County, Washington"
1212,243,1500000US530530726012,"Block Group 2, Census Tract 726.01, Pierce County, Washington"
1590,285,1500000US530530726013,"Block Group 3, Census Tract 726.01, Pierce County, Washington"
982,239,1500000US530530726021,"Block Group 1, Census Tract 726.02, Pierce County, Washington"
1776,399,1500000US530530726022,"Block Group 2, Census Tract 726.02, Pierce County, Washington"
1432,414,1500000US530530726023,"Block Group 3, Census Tract 726.02, Pierce County, Washington"
745,272,1500000US530530726031,"Block Group 1, Census Tract 726.03, Pierce County, Washington"
710,240,1500000US530530726032,"Block Group 2, Census Tract 726.03, Pierce County, Washington"
1053,250,1500000US530530726033,"Block Group 3, Census Tract 726.03, Pierce County, Washington"
1826,584,1500000US530530726034,"Block Group 4, Census Tract 726.03, Pierce County, Washington"
419,253,1500000US530530726035,"Block Group 5, Census Tract 726.03, Pierce County, Washington"
5454,529,1500000US530530728001,"Block Group 1, Census Tract 728, Pierce County, Washington"
3738,515,1500000US530530728002,"Block Group 2, Census Tract 728, Pierce County, Washington"
3288,295,1500000US530530729011,"Block Group 1, Census Tract 729.01, Pierce County, Washington"
3700,482,1500000US530530729031,"Block Group 1, Census Tract 729.03, Pierce County, Washington"
2500,417,1500000US530530729051,"Block Group 1, Census Tract 729.05, Pierce County, Washington"
1089,364,1500000US530530729052,"Block Group 2, Census Tract 729.05, Pierce County, Washington"
2438,526,1500000US530530729053,"Block Group 3, Census Tract 729.05, Pierce County, Washington"
1158,272,1500000US530530729061,"Block Group 1, Census Tract 729.06, Pierce County, Washington"
399,373,1500000US530530729062,"Block Group 2, Census Tract 729.06, Pierce County, Washington"
1790,458,1500000US530530729071,"Block Group 1, Census Tract 729.07, Pierce County, Washington"
4002,659,1500000US530530729072,"Block Group 2, Census Tract 729.07, Pierce County, Washington"
0,12,1500000US530530729073,"Block Group 3, Census Tract 729.07, Pierce County, Washington"
796,322,1500000US530530730011,"Block Group 1, Census Tract 730.01, Pierce County, Washington"
1530,518,1500000US530530730012,"Block Group 2, Census Tract 730.01, Pierce County, Washington"
1839,357,1500000US530530730013,"Block Group 3, Census Tract 730.01, Pierce County, Washington"
1016,282,1500000US530530730014,"Block Group 4, Census Tract 730.01, Pierce County, Washington"
944,222,1500000US530530730015,"Block Group 5, Census Tract 730.01, Pierce County, Washington"
887,260,1500000US530530730051,"Block Group 1, Census Tract 730.05, Pierce County, Washington"
1655,387,1500000US530530730052,"Block Group 2, Census Tract 730.05, Pierce County, Washington"
1370,469,1500000US530530730053,"Block Group 3, Census Tract 730.05, Pierce County, Washington"
1588,353,1500000US530530730054,"Block Group 4, Census Tract 730.05, Pierce County, Washington"
2533,311,1500000US530530730061,"Block Group 1, Census Tract 730.06, Pierce County, Washington"
1230,265,1500000US530530730062,"Block Group 2, Census Tract 730.06, Pierce County, Washington"
2073,639,1500000US530530731081,"Block Group 1, Census Tract 731.08, Pierce County, Washington"
3577,532,1500000US530530731082,"Block Group 2, Census Tract 731.08, Pierce County, Washington"
2376,580,1500000US530530731083,"Block Group 3, Census Tract 731.08, Pierce County, Washington"
1591,241,1500000US530530731101,"Block Group 1, Census Tract 731.10, Pierce County, Washington"
1986,301,1500000US530530731102,"Block Group 2, Census Tract 731.10, Pierce County, Washington"
2265,344,1500000US530530731111,"Block Group 1, Census Tract 731.11, Pierce County, Washington"
1324,297,1500000US530530731112,"Block Group 2, Census Tract 731.11, Pierce County, Washington"
790,224,1500000US530530731113,"Block Group 3, Census Tract 731.11, Pierce County, Washington"
1372,365,1500000US530530731131,"Block Group 1, Census Tract 731.13, Pierce County, Washington"
2659,610,1500000US530530731132,"Block Group 2, Census Tract 731.13, Pierce County, Washington"
2844,587,1500000US530530731133,"Block Group 3, Census Tract 731.13, Pierce County, Washington"
2293,463,1500000US530530731141,"Block Group 1, Census Tract 731.14, Pierce County, Washington"
1858,396,1500000US530530731142,"Block Group 2, Census Tract 731.14, Pierce County, Washington"
1374,342,1500000US530530731143,"Block Group 3, Census Tract 731.14, Pierce County, Washington"
2080,269,1500000US530530731151,"Block Group 1, Census Tract 731.15, Pierce County, Washington"
1453,288,1500000US530530731152,"Block Group 2, Census Tract 731.15, Pierce County, Washington"
597,162,1500000US530530731153,"Block Group 3, Census Tract 731.15, Pierce County, Washington"
2055,363,1500000US530530731161,"Block Group 1, Census Tract 731.16, Pierce County, Washington"
1573,354,1500000US530530731162,"Block Group 2, Census Tract 731.16, Pierce County, Washington"
2059,333,1500000US530530731171,"Block Group 1, Census Tract 731.17, Pierce County, Washington"
1767,414,1500000US530530731172,"Block Group 2, Census Tract 731.17, Pierce County, Washington"
2025,247,1500000US530530731181,"Block Group 1, Census Tract 731.18, Pierce County, Washington"
2244,370,1500000US530530731182,"Block Group 2, Census Tract 731.18, Pierce County, Washington"
1116,248,1500000US530530731191,"Block Group 1, Census Tract 731.19, Pierce County, Washington"
1849,353,1500000US530530731192,"Block Group 2, Census Tract 731.19, Pierce County, Washington"
1960,354,1500000US530530731201,"Block Group 1, Census Tract 731.20, Pierce County, Washington"
2178,433,1500000US530530731202,"Block Group 2, Census Tract 731.20, Pierce County, Washington"
2433,404,1500000US530530731211,"Block Group 1, Census Tract 731.21, Pierce County, Washington"
2376,349,1500000US530530731212,"Block Group 2, Census Tract 731.21, Pierce County, Washington"
1703,323,1500000US530530731221,"Block Group 1, Census Tract 731.22, Pierce County, Washington"
2743,318,1500000US530530731222,"Block Group 2, Census Tract 731.22, Pierce County, Washington"
3256,363,1500000US530530731231,"Block Group 1, Census Tract 731.23, Pierce County, Washington"
1850,456,1500000US530530731232,"Block Group 2, Census Tract 731.23, Pierce County, Washington"
1130,297,1500000US530530731241,"Block Group 1, Census Tract 731.24, Pierce County, Washington"
2625,445,1500000US530530731242,"Block Group 2, Census Tract 731.24, Pierce County, Washington"
4127,665,1500000US530530731251,"Block Group 1, Census Tract 731.25, Pierce County, Washington"
1762,600,1500000US530530731252,"Block Group 2, Census Tract 731.25, Pierce County, Washington"
3652,593,1500000US530530731253,"Block Group 3, Census Tract 731.25, Pierce County, Washington"
4158,403,1500000US530530731261,"Block Group 1, Census Tract 731.26, Pierce County, Washington"
1231,211,1500000US530530732001,"Block Group 1, Census Tract 732, Pierce County, Washington"
1014,372,1500000US530530732002,"Block Group 2, Census Tract 732, Pierce County, Washington"
1241,318,1500000US530530732003,"Block Group 3, Census Tract 732, Pierce County, Washington"
2369,400,1500000US530530732004,"Block Group 4, Census Tract 732, Pierce County, Washington"
3596,470,1500000US530530733011,"Block Group 1, Census Tract 733.01, Pierce County, Washington"
781,236,1500000US530530733012,"Block Group 2, Census Tract 733.01, Pierce County, Washington"
198,89,1500000US530530733013,"Block Group 3, Census Tract 733.01, Pierce County, Washington"
1309,525,1500000US530530733014,"Block Group 4, Census Tract 733.01, Pierce County, Washington"
1361,247,1500000US530530733021,"Block Group 1, Census Tract 733.02, Pierce County, Washington"
1283,223,1500000US530530733022,"Block Group 2, Census Tract 733.02, Pierce County, Washington"
1146,262,1500000US530530733023,"Block Group 3, Census Tract 733.02, Pierce County, Washington"
1221,251,1500000US530530734041,"Block Group 1, Census Tract 734.04, Pierce County, Washington"
911,357,1500000US530530734042,"Block Group 2, Census Tract 734.04, Pierce County, Washington"
724,233,1500000US530530734043,"Block Group 3, Census Tract 734.04, Pierce County, Washington"
946,225,1500000US530530734044,"Block Group 4, Census Tract 734.04, Pierce County, Washington"
1901,277,1500000US530530734045,"Block Group 5, Census Tract 734.04, Pierce County, Washington"
1961,314,1500000US530530734051,"Block Group 1, Census Tract 734.05, Pierce County, Washington"
1560,277,1500000US530530734052,"Block Group 2, Census Tract 734.05, Pierce County, Washington"
1878,483,1500000US530530734061,"Block Group 1, Census Tract 734.06, Pierce County, Washington"
1326,299,1500000US530530734062,"Block Group 2, Census Tract 734.06, Pierce County, Washington"
2271,479,1500000US530530734063,"Block Group 3, Census Tract 734.06, Pierce County, Washington"
1295,287,1500000US530530734071,"Block Group 1, Census Tract 734.07, Pierce County, Washington"
1036,275,1500000US530530734072,"Block Group 2, Census Tract 734.07, Pierce County, Washington"
1524,295,1500000US530530734073,"Block Group 3, Census Tract 734.07, Pierce County, Washington"
2173,415,1500000US530530734081,"Block Group 1, Census Tract 734.08, Pierce County, Washington"
975,186,1500000US530530734082,"Block Group 2, Census Tract 734.08, Pierce County, Washington"
971,206,1500000US530530734083,"Block Group 3, Census Tract 734.08, Pierce County, Washington"
1382,362,1500000US530530735001,"Block Group 1, Census Tract 735, Pierce County, Washington"
1419,424,1500000US530530735002,"Block Group 2, Census Tract 735, Pierce County, Washington"
945,435,1500000US530530735003,"Block Group 3, Census Tract 735, Pierce County, Washington"
999,431,1500000US530530735004,"Block Group 4, Census Tract 735, Pierce County, Washington"
1095,443,1500000US530530735005,"Block Group 5, Census Tract 735, Pierce County, Washington"
1449,343,1500000US530530735006,"Block Group 6, Census Tract 735, Pierce County, Washington"
1425,144,1500000US530539400011,"Block Group 1, Census Tract 9400.01, Pierce County, Washington"
1257,165,1500000US530539400012,"Block Group 2, Census Tract 9400.01, Pierce County, Washington"
1478,203,1500000US530539400021,"Block Group 1, Census Tract 9400.02, Pierce County, Washington"
1097,175,1500000US530539400022,"Block Group 2, Census Tract 9400.02, Pierce County, Washington"
1213,191,1500000US530539400023,"Block Group 3, Census Tract 9400.02, Pierce County, Washington"
3333,287,1500000US530539400031,"Block Group 1, Census Tract 9400.03, Pierce County, Washington"
1624,220,1500000US530539400032,"Block Group 2, Census Tract 9400.03, Pierce County, Washington"
2287,253,1500000US530539400033,"Block Group 3, Census Tract 9400.03, Pierce County, Washington"
1416,348,1500000US530539400041,"Block Group 1, Census Tract 9400.04, Pierce County, Washington"
492,141,1500000US530539400042,"Block Group 2, Census Tract 9400.04, Pierce County, Washington"
894,159,1500000US530539400043,"Block Group 3, Census Tract 9400.04, Pierce County, Washington"
938,179,1500000US530539400044,"Block Group 4, Census Tract 9400.04, Pierce County, Washington"
1335,190,1500000US530539400045,"Block Group 5, Census Tract 9400.04, Pierce County, Washington"
1542,240,1500000US530539400046,"Block Group 6, Census Tract 9400.04, Pierce County, Washington"
1655,229,1500000US530539400051,"Block Group 1, Census Tract 9400.05, Pierce County, Washington"
2216,288,1500000US530539400052,"Block Group 2, Census Tract 9400.05, Pierce County, Washington"
2189,227,1500000US530539400053,"Block Group 3, Census Tract 9400.05, Pierce County, Washington"
1614,223,1500000US530539400061,"Block Group 1, Census Tract 9400.06, Pierce County, Washington"
1287,178,1500000US530539400062,"Block Group 2, Census Tract 9400.06, Pierce County, Washington"
815,206,1500000US530539400071,"Block Group 1, Census Tract 9400.07, Pierce County, Washington"
1207,264,1500000US530539400072,"Block Group 2, Census Tract 9400.07, Pierce County, Washington"
1236,210,1500000US530539400073,"Block Group 3, Census Tract 9400.07, Pierce County, Washington"
2690,250,1500000US530539400081,"Block Group 1, Census Tract 9400.08, Pierce County, Washington"
2025,232,1500000US530539400082,"Block Group 2, Census Tract 9400.08, Pierce County, Washington"
1335,120,1500000US530539400083,"Block Group 3, Census Tract 9400.08, Pierce County, Washington"
1876,223,1500000US530539400091,"Block Group 1, Census Tract 9400.09, Pierce County, Washington"
1002,183,1500000US530539400092,"Block Group 2, Census Tract 9400.09, Pierce County, Washington"
2023,449,1500000US530539400101,"Block Group 1, Census Tract 9400.10, Pierce County, Washington"
1565,267,1500000US530539400102,"Block Group 2, Census Tract 9400.10, Pierce County, Washington"
591,189,1500000US530539400103,"Block Group 3, Census Tract 9400.10, Pierce County, Washington"
1657,185,1500000US530539400111,"Block Group 1, Census Tract 9400.11, Pierce County, Washington"
1728,166,1500000US530539400112,"Block Group 2, Census Tract 9400.11, Pierce County, Washington"
972,104,1500000US530539400113,"Block Group 3, Census Tract 9400.11, Pierce County, Washington"
